Query_ID	Query_length	Query_start	Query_end	Subject_ID	Subject_length	Subject_start	Subject_end	E_value	Percent_ID	Query_coverage	Percent_positive_ID	Gap_openings	Total_gaps	Bitscore	Raw_score
Dcitr00g09190.1.1	244	9	253	Q8IH57_DROME	244	299	543	2.19e-144	82.041	97	93.47	0	0	418	1075
Dcitr00g09220.1.1	111	9	120	Q9U302_CAEEL	111	28	139	3.88e-63	81.250	93	91.96	0	0	202	515
Dcitr00g09220.1.1	108	12	120	PABP_DROME	108	1	109	7.39e-62	84.404	91	94.50	0	0	199	506
Dcitr00g09220.1.1	110	10	120	Q19579_CAEEL	110	54	164	8.80e-60	78.378	93	90.99	0	0	194	494
Dcitr00g09250.1.1	164	5	169	Q9VCY6_DROME	164	89	253	4.66e-92	73.333	76	87.27	0	0	271	694
Dcitr00g09260.1.1	170	1	171	TCTP_DROME	170	1	171	6.62e-98	78.363	99	89.47	0	0	280	716
Dcitr00g09310.1.1	372	2	374	ADHX_DROME	374	5	379	0.0	70.133	99	82.40	2	2	563	1451
Dcitr00g09470.1.1	91	11	102	H4_DROME	91	11	102	4.85e-53	95.652	88	98.91	0	0	161	407
Dcitr00g09470.1.1	91	11	102	H4_PENVA	91	11	102	2.49e-50	92.391	88	95.65	0	0	154	389
Dcitr00g09470.1.1	86	16	102	H4_DICDI	86	21	107	4.76e-44	78.161	84	86.21	0	0	139	349
Dcitr00g09480.1.1	136	1	137	H3_DROME	134	1	135	1.34e-87	92.701	99	94.89	1	2	251	641
Dcitr00g09480.1.1	136	1	137	H33B_DROME	134	1	135	4.84e-85	89.781	99	94.16	1	2	244	624
Dcitr00g09480.1.1	136	1	137	H33A_DROME	134	1	135	4.84e-85	89.781	99	94.16	1	2	244	624
Dcitr00g09690.1.1	107	1	108	MED11_DROME	107	4	111	2.48e-53	73.148	86	86.11	0	0	165	418
Dcitr00g09970.1.1	146	2	148	SERR_DROME	146	200	346	2.47e-73	70.068	99	82.99	0	0	238	606
Dcitr00g10040.1.1	580	5	585	KLHDB_DROME	581	39	620	0.0	89.003	96	95.53	1	1	1068	2762
Dcitr00g10040.1.2	574	5	579	KLHDB_DROME	574	39	613	0.0	90.087	98	96.00	0	0	1072	2772
Dcitr00g10120.1.1	44	23	67	M9MRZ0_DROME	44	338	382	1.13e-16	75.556	72	82.22	0	0	72.0	175
Dcitr00g10120.1.1	44	23	67	M9PI52_DROME	44	359	403	1.15e-16	75.556	72	82.22	0	0	72.0	175
Dcitr00g10160.1.1	355	14	369	PTP10_DROME	356	1192	1548	0.0	79.888	94	88.55	3	3	607	1565
Dcitr00g10160.1.1	330	49	379	E1JJE4_DROME	331	1284	1615	1.14e-172	72.372	87	86.19	3	3	522	1345
Dcitr00g10160.1.1	320	49	369	Q8IRS0_DROME	321	1284	1605	4.62e-166	72.136	84	85.76	3	3	504	1299
Dcitr00g10680.1.1	91	11	102	H4_DROME	91	11	102	4.85e-53	95.652	88	98.91	0	0	161	407
Dcitr00g10680.1.1	91	11	102	H4_PENVA	91	11	102	2.49e-50	92.391	88	95.65	0	0	154	389
Dcitr00g10680.1.1	86	16	102	H4_DICDI	86	21	107	4.76e-44	78.161	84	86.21	0	0	139	349
Dcitr00g10960.1.1	572	1	573	Q9XZ53_DROME	565	206	771	0.0	72.822	99	83.62	3	9	858	2217
Dcitr00g10960.1.1	572	1	573	Q7KN63_DROME	565	229	794	0.0	72.822	99	83.62	3	9	857	2215
Dcitr00g11000.1.1	362	1	363	UBIQP_DROME	362	1	363	0.0	93.939	97	96.69	0	0	681	1756
Dcitr00g11000.1.1	362	1	363	UBIQP_DROME	362	77	439	0.0	93.939	97	96.69	0	0	681	1756
Dcitr00g11000.1.1	362	1	363	UBIQP_DROME	362	153	515	0.0	93.939	97	96.69	0	0	681	1756
Dcitr00g11000.1.1	362	1	363	UBIQP_DROME	362	229	591	0.0	93.939	97	96.69	0	0	681	1756
Dcitr00g11000.1.1	362	1	363	UBIQP_DROME	362	305	667	0.0	93.939	97	96.69	0	0	681	1756
Dcitr00g11000.1.1	362	1	363	UBIQP_DROME	362	381	743	0.0	93.939	97	96.69	0	0	681	1756
Dcitr00g11000.1.1	306	1	307	UBIQP_DROME	306	457	763	0.0	93.485	97	96.42	0	0	573	1478
Dcitr00g11000.1.1	362	1	363	Q9W418_DROME	362	1	363	0.0	93.939	97	96.69	0	0	680	1754
Dcitr00g11000.1.1	362	1	363	Q9W418_DROME	362	77	439	0.0	93.939	97	96.69	0	0	680	1754
Dcitr00g11000.1.1	362	1	363	Q9W418_DROME	362	153	515	0.0	93.939	97	96.69	0	0	680	1754
Dcitr00g11000.1.1	303	1	304	Q9W418_DROME	303	229	532	0.0	94.079	97	96.71	0	0	570	1470
Dcitr00g11000.1.1	362	1	363	Q383T7_TRYB2	362	1	363	0.0	89.807	97	96.69	0	0	673	1736
Dcitr00g11000.1.1	362	1	363	Q383T7_TRYB2	362	77	439	0.0	89.807	97	96.69	0	0	673	1736
Dcitr00g11000.1.1	362	1	363	Q383T7_TRYB2	362	153	515	0.0	89.807	97	96.69	0	0	673	1736
Dcitr00g11000.1.1	362	1	363	Q383T7_TRYB2	362	229	591	0.0	89.807	97	96.69	0	0	673	1736
Dcitr00g11000.1.1	362	1	363	Q383T7_TRYB2	362	305	667	0.0	89.807	97	96.69	0	0	673	1736
Dcitr00g11000.1.1	304	1	305	Q383T7_TRYB2	304	381	685	0.0	89.836	97	96.39	0	0	565	1457
Dcitr00g11040.1.1	348	2	350	ADHX_DROME	350	5	355	0.0	72.080	95	83.48	2	2	538	1385
Dcitr00g11040.1.2	348	2	350	ADHX_DROME	350	5	355	0.0	72.080	95	83.48	2	2	538	1385
Dcitr00g11230.1.1	124	1	125	ARL8_DROME	124	49	173	1.73e-81	88.000	87	94.40	0	0	238	606
Dcitr00g11230.1.1	123	1	124	G5EDC6_CAEEL	123	49	172	1.52e-76	83.065	86	94.35	0	0	225	574
Dcitr00g11380.1.1	289	2	291	C1TC_DROME	290	29	319	1.69e-142	72.165	90	83.51	1	1	426	1095
Dcitr00g11390.1.1	116	2	118	BRC1_DROME	116	1	117	9.89e-68	84.615	79	92.31	0	0	218	554
Dcitr00g11390.1.1	120	2	122	BRC4_DROME	120	1	121	4.25e-67	81.818	81	90.08	0	0	218	555
Dcitr00g11390.1.2	116	2	118	BRC1_DROME	116	1	117	9.89e-68	84.615	79	92.31	0	0	218	554
Dcitr00g11390.1.2	120	2	122	BRC4_DROME	120	1	121	4.25e-67	81.818	81	90.08	0	0	218	555
Dcitr00g11630.1.1	606	7	613	HSP7A_CAEEL	606	6	612	0.0	78.418	94	89.62	0	0	1007	2604
Dcitr00g11630.1.1	606	7	613	HSP7D_DROME	605	6	611	0.0	75.822	94	87.17	2	3	967	2499
Dcitr00g11630.1.1	606	7	613	HS7C1_DICDI	606	3	609	0.0	73.641	94	86.99	0	0	963	2490
Dcitr00g11700.1.1	305	1	306	SHAKB_DROME	307	59	366	1.65e-163	74.675	99	84.42	1	2	459	1182
Dcitr00g11950.1.1	165	12	177	Q9VV89_DROME	165	9	174	1.89e-96	78.916	93	92.77	0	0	276	707
Dcitr00g11950.1.1	162	15	177	Q8IQP2_DROME	162	1	163	2.61e-94	78.528	92	92.64	0	0	271	692
Dcitr00g11950.1.1	151	12	163	Q8IQP1_DROME	151	9	160	1.16e-86	78.947	85	92.76	0	0	251	642
Dcitr00g12020.1.1	513	5	518	KLHDB_DROME	513	39	552	0.0	90.078	99	95.72	0	0	950	2456
Dcitr00g12090.1.1	119	25	144	G6PD_DROME	119	167	286	3.56e-69	82.500	83	90.83	0	0	217	552
Dcitr00g12260.1.1	495	1	496	HSP7D_DROME	490	122	612	0.0	88.710	93	95.16	1	5	914	2361
Dcitr00g12260.1.1	495	1	496	HSP7A_CAEEL	490	123	613	0.0	85.081	93	92.14	1	5	869	2245
Dcitr00g12260.1.1	495	1	496	HS7C1_DICDI	490	120	610	0.0	76.411	93	89.52	1	5	792	2045
Dcitr00g12420.1.1	921	11	932	Q9VVU6_DROME	922	9	931	0.0	79.198	99	89.60	1	1	1547	4006
Dcitr00g12480.1.1	138	7	145	PKN_DROME	139	432	571	1.95e-75	82.857	75	90.00	1	1	245	625
Dcitr00g12590.1.1	260	1	261	RSSA_DROME	259	1	260	1.24e-127	72.556	82	80.45	2	11	365	937
Dcitr00g12620.1.1	921	11	932	Q9VVU6_DROME	922	9	931	0.0	79.198	99	89.60	1	1	1547	4006
Dcitr00g12710.1.1	220	5	225	KLHDB_DROME	220	39	259	1.28e-138	85.973	97	93.67	0	0	402	1032
Dcitr00g12750.1.1	148	19	167	Q9W414_DROME	148	106	254	5.94e-87	81.879	87	90.60	0	0	260	665
Dcitr00g12750.1.1	148	19	167	Q8SZ19_DROME	148	106	254	6.62e-87	81.879	87	90.60	0	0	260	664
Dcitr00g12750.1.1	148	19	167	Q9U7A2_DROME	148	99	247	2.10e-86	81.879	87	89.93	0	0	258	660
Dcitr00g13060.1.1	198	11	209	RS5A_DROME	195	33	228	3.28e-103	70.149	95	82.09	2	7	297	760
Dcitr00g13060.1.1	185	24	209	RS5_DICDI	185	5	190	1.39e-94	70.968	89	82.80	0	0	274	700
Dcitr00g13080.1.1	190	1	191	RAS1_DROME	188	1	189	3.06e-103	80.628	99	89.01	1	2	295	755
Dcitr00g13080.1.1	189	1	190	LET60_CAEEL	183	1	184	3.96e-90	72.105	99	82.63	1	6	261	668
Dcitr00g13200.1.1	353	1	354	128UP_DROME	354	1	355	0.0	88.169	99	95.21	1	1	640	1651
Dcitr00g13250.1.1	137	1	138	O96880_DROME	137	50	187	7.76e-78	81.159	84	89.13	0	0	238	606
Dcitr00g13300.1.1	446	20	466	Q9V4E0_DROME	447	21	468	0.0	78.125	96	88.62	1	1	765	1975
Dcitr00g13300.1.1	389	77	466	NDUS2_CAEEL	389	93	482	0.0	72.564	84	85.64	0	0	625	1612
Dcitr00g13360.1.1	55	4	59	A1A714_DROME	55	227	282	1.51e-19	76.786	77	91.07	0	0	80.5	197
Dcitr00g13360.1.1	55	4	59	Q960F6_DROME	55	227	282	2.05e-19	76.786	77	91.07	0	0	80.1	196
Dcitr00g13520.1.1	185	1	186	ARL8_DROME	185	1	186	4.20e-123	86.559	99	94.09	0	0	345	884
Dcitr00g13520.1.1	183	1	184	G5EDC6_CAEEL	183	1	184	4.97e-115	80.978	98	92.93	0	0	324	831
Dcitr00g13560.1.1	74	4	78	Q95NU8_DROME	74	486	560	6.87e-45	88.000	95	92.00	0	0	150	380
Dcitr00g13730.1.1	106	25	131	H2A_DROME	106	16	122	5.91e-61	81.308	76	92.52	0	0	183	465
Dcitr00g13730.1.1	105	26	131	H2A_PENVA	105	17	122	1.33e-60	81.132	75	92.45	0	0	182	463
Dcitr00g13760.1.1	265	150	415	Q9VM49_DROME	258	228	486	1.27e-129	72.556	82	81.95	2	7	386	991
Dcitr00g13760.1.2	265	150	415	Q9VM49_DROME	258	228	486	1.27e-129	72.556	82	81.95	2	7	386	991
Dcitr00g13880.1.1	230	1	231	IF4A3_DROME	230	169	399	6.43e-127	72.294	99	88.74	0	0	364	935
Dcitr00g13880.1.1	230	1	231	Q8IKF0_PLAF7	232	166	398	4.81e-118	70.815	99	85.84	1	2	342	877
Dcitr00g13880.1.1	230	1	231	IF4A_DROME	230	173	403	7.01e-116	74.459	99	90.04	0	0	337	863
Dcitr00g14240.1.1	383	42	425	Q9VPU1_DROME	396	150	546	0.0	70.732	90	79.02	3	39	579	1492
Dcitr00g14240.1.1	383	42	425	Q24218_DROME	396	12	408	0.0	70.732	90	79.02	3	39	578	1490
Dcitr00g14240.1.1	383	42	425	Q8IPW2_DROME	396	12	408	0.0	70.732	90	79.02	3	39	577	1488
Dcitr00g14400.1.1	98	1	99	O96880_DROME	98	50	148	6.67e-53	80.808	93	89.90	0	0	171	432
Dcitr00g14500.1.1	209	8	217	Q9V3V6_DROME	211	4	215	3.57e-112	77.358	96	86.79	2	2	327	839
Dcitr00g14500.1.1	209	8	217	Q9XZC3_DROME	211	8	219	9.47e-110	75.943	96	85.38	2	2	321	823
Dcitr00g14500.1.1	175	15	190	PRS6A_CAEEL	173	16	189	2.23e-85	73.864	81	87.50	2	2	259	662
Dcitr00g14670.1.1	95	2	97	Q8IGW7_DROME	97	4	101	8.93e-53	81.633	94	89.80	1	2	160	405
Dcitr00g14670.1.1	95	2	97	Q8IMX8_DROME	97	4	101	9.86e-53	81.633	94	89.80	1	2	160	405
Dcitr00g14670.1.1	90	8	98	Q9U1W8_CAEEL	90	11	101	9.10e-46	73.626	89	89.01	0	0	142	359
Dcitr00g14840.1.1	136	1	137	X2JCM1_DROME	136	1176	1312	7.01e-76	81.022	97	91.24	0	0	244	624
Dcitr00g14840.1.1	136	1	137	M9MRX4_DROME	136	1176	1312	1.61e-75	81.022	97	91.24	0	0	244	622
Dcitr00g14840.1.1	136	1	137	X2JGD3_DROME	136	1176	1312	1.88e-75	81.022	97	91.24	0	0	243	621
Dcitr00g14880.1.1	262	1	263	Q9VM49_DROME	255	335	590	4.83e-129	71.103	99	80.99	2	7	378	971
Dcitr00g15080.1.1	682	1	683	MCM3_DROME	674	1	675	0.0	72.222	88	85.67	3	10	1027	2656
Dcitr00g15080.1.1	682	1	683	X2JAI4_DROME	673	1	674	0.0	72.222	88	85.53	3	11	1027	2655
Dcitr00g15190.1.1	233	1	234	Q9V3V6_DROME	233	195	428	8.85e-168	97.009	99	97.44	0	0	469	1208
Dcitr00g15190.1.1	233	1	234	Q9XZC3_DROME	232	199	431	6.93e-164	95.726	99	97.01	1	1	459	1182
Dcitr00g15190.1.1	233	1	234	PRS6A_CAEEL	233	197	430	6.22e-155	88.462	99	94.44	0	0	437	1123
Dcitr00g15320.1.1	87	16	103	DOS_DROME	86	28	114	6.37e-38	70.455	85	81.82	1	1	143	360
Dcitr01g01040.1.1	324	19	343	KGP25_DROME	324	610	934	0.0	87.077	94	92.62	0	0	576	1484
Dcitr01g01040.1.1	324	19	343	KGP24_DROME	324	764	1088	0.0	87.077	94	92.62	0	0	574	1480
Dcitr01g01050.1.1	163	1	164	KGP25_DROME	163	655	818	6.08e-110	95.122	96	96.95	0	0	334	856
Dcitr01g01050.1.1	163	1	164	KGP24_DROME	163	809	972	5.20e-109	95.122	96	96.95	0	0	334	857
Dcitr01g01240.1.1	262	9	271	VATH_DROME	272	173	445	2.35e-150	73.993	96	86.45	1	10	428	1101
Dcitr01g01330.1.1	323	40	363	JNK_DROME	323	40	363	0.0	89.815	88	95.06	0	0	614	1584
Dcitr01g01330.1.1	21	1	22	JNK_DROME	21	198	219	2.60e-06	90.909	88	90.91	0	0	49.3	116
Dcitr01g01330.1.1	328	40	368	JNK1_CAEEL	326	135	461	0.0	75.076	89	86.02	2	2	528	1359
Dcitr01g01330.1.1	21	1	22	JNK1_CAEEL	21	293	314	1.75e-05	77.273	89	90.91	0	0	47.0	110
Dcitr01g01340.1.1	173	17	190	JNK_DROME	173	9	182	1.08e-113	89.080	90	94.83	0	0	328	841
Dcitr01g01340.1.1	185	5	190	JNK1_CAEEL	188	89	277	7.86e-98	74.074	96	82.54	1	3	291	745
Dcitr01g01380.1.1	194	1	195	Q7JWS8_DROME	194	1	195	1.35e-131	89.231	99	95.38	0	0	367	942
Dcitr01g01490.1.1	233	1	234	KAD2_DROME	230	1	231	2.66e-132	77.447	94	87.66	2	5	373	957
Dcitr01g01530.1.1	229	1	230	KAD2_DROME	230	1	231	3.50e-135	79.221	94	89.18	1	1	380	976
Dcitr01g01640.1.1	554	11	565	Q9VNX4_DROME	553	19	572	0.0	73.153	98	83.60	1	1	849	2193
Dcitr01g01640.1.1	554	11	565	Q8T3P0_DROME	553	19	572	0.0	73.153	98	83.60	1	1	848	2191
Dcitr01g01840.1.1	335	1	336	Q0E8E8_DROME	353	1	354	2.64e-173	71.751	98	80.79	1	18	485	1249
Dcitr01g01840.1.1	335	1	336	Q9XZE4_DROME	353	1	354	1.32e-172	71.469	98	80.51	1	18	483	1244
Dcitr01g02270.1.1	186	9	195	Q9VHX7_DROME	184	9	193	2.63e-83	70.588	95	81.82	2	2	249	637
Dcitr01g02320.1.1	203	5	208	RPB1_DROME	200	6	206	6.74e-102	79.512	99	91.71	2	5	365	936
Dcitr01g02650.1.1	628	1	629	CRN_DROME	635	1	636	0.0	73.428	78	86.95	2	7	980	2533
Dcitr01g02650.1.1	597	610	1207	CRN_DROME	610	5	615	0.0	70.048	78	83.09	5	33	894	2311
Dcitr01g03190.1.1	331	1	332	G3P1_DROME	331	1	332	0.0	85.241	99	91.87	0	0	584	1505
Dcitr01g03190.1.1	331	1	332	G3P2_DROME	331	1	332	0.0	84.639	99	91.87	0	0	582	1501
Dcitr01g03190.1.1	328	4	332	G3P_DICDI	330	5	335	3.94e-169	70.695	99	81.27	2	2	473	1218
Dcitr01g03200.1.1	331	1	332	G3P1_DROME	331	1	332	0.0	85.241	99	91.87	0	0	584	1505
Dcitr01g03200.1.1	331	1	332	G3P2_DROME	331	1	332	0.0	84.639	99	91.87	0	0	582	1501
Dcitr01g03200.1.1	328	4	332	G3P_DICDI	330	5	335	3.94e-169	70.695	99	81.27	2	2	473	1218
Dcitr01g03310.1.1	595	6	601	NSF2_DROME	592	80	672	0.0	70.017	99	83.75	3	5	848	2190
Dcitr01g03340.1.1	89	15	104	MFAP1_DROME	89	386	475	1.62e-37	71.111	76	83.33	0	0	132	331
Dcitr01g03500.1.1	295	5	300	GLC7B_CAEEL	295	7	302	5.71e-179	77.703	95	89.19	0	0	497	1280
Dcitr01g03500.1.1	295	5	300	PP11_DROME	295	6	301	1.02e-176	77.703	95	87.16	0	0	491	1265
Dcitr01g03500.1.1	295	5	300	PP12_DROME	295	6	301	9.88e-176	77.027	95	86.82	0	0	488	1256
Dcitr01g03700.1.1	348	6	354	EXD_DROME	357	10	367	0.0	82.320	98	85.36	6	17	548	1413
