GO_ID	GO_Name	Aspect	Accession_Count	Accessions
GO:0051603	proteolysis involved in cellular protein catabolic process	Biological_Process	28	Dcitr03g0872011;Dcitr06g0639011;Dcitr03g0366011;Dcitr06g0382011;Dcitr10g0294011;Dcitr00g0826011;Dcitr06g0638011;Dcitr05g1464011;Dcitr03g0869011;Dcitr10g0292011;Dcitr04g1412011;Dcitr06g0497011;Dcitr03g0873011;Dcitr06g0379011;Dcitr01g1242011;Dcitr05g0453011;Dcitr02g1444011;Dcitr10g0292012;Dcitr05g1471011;Dcitr02g0591011;Dcitr04g1433011;Dcitr06g0478011;Dcitr00g1173011;Dcitr02g0589011;Dcitr06g0480011;Dcitr04g1203011;Dcitr05g0452011;Dcitr00g1365011
GO:0009165	nucleotide biosynthetic process	Biological_Process	6	Dcitr05g0282011;Dcitr05g0286011;Dcitr05g0283011;Dcitr07g0584011;Dcitr07g0577011;Dcitr07g0575011
GO:0046328	regulation of JNK cascade	Biological_Process	2	Dcitr06g0147011;Dcitr06g0145011
GO:0005761	mitochondrial ribosome	Cellular_Component	7	Dcitr03g0317011;Dcitr02g1328011;Dcitr11g0892011;Dcitr11g0895011;Dcitr02g1332011;Dcitr03g0325011;Dcitr12g0258011
GO:0004419	hydroxymethylglutaryl-CoA lyase activity	Molecular_Function	3	Dcitr01g0814011;Dcitr01g0808012;Dcitr01g0808011
GO:0035060	brahma complex	Cellular_Component	1	Dcitr07g1094011
GO:0004619	phosphoglycerate mutase activity	Molecular_Function	4	Dcitr03g1164011;Dcitr03g1787011;Dcitr03g1799011;Dcitr03g1785011
GO:0009263	deoxyribonucleotide biosynthetic process	Biological_Process	6	Dcitr10g0106011;Dcitr10g0111011;Dcitr10g0113011;Dcitr10g0111012;Dcitr00g0799011;Dcitr10g0109011
GO:0045039	protein insertion into mitochondrial inner membrane	Biological_Process	5	Dcitr11g0789012;Dcitr11g0789011;Dcitr11g0789015;Dcitr11g0789013;Dcitr11g0789014
GO:0004623	phospholipase A2 activity	Molecular_Function	13	Dcitr10g1069011;Dcitr03g1426011;Dcitr03g1422011;Dcitr10g1070011;Dcitr10g0808011;Dcitr01g0658011;Dcitr10g0924011;Dcitr07g0972011;Dcitr03g1421011;Dcitr01g2236011;Dcitr01g2235011;Dcitr10g0926011;Dcitr07g0971011
GO:0004525	ribonuclease III activity	Molecular_Function	7	Dcitr03g0450011;Dcitr08g0408011;Dcitr03g1026011;Dcitr10g1056011;Dcitr03g0444011;Dcitr10g1055011;Dcitr08g0407011
GO:0004616	phosphogluconate dehydrogenase (decarboxylating) activity	Molecular_Function	2	Dcitr00g0430011;Dcitr12g0494011
GO:0036038	MKS complex	Cellular_Component	1	Dcitr13g0513011
GO:0008271	secondary active sulfate transmembrane transporter activity	Molecular_Function	19	Dcitr07g0930011;Dcitr07g1306011;Dcitr07g0570011;Dcitr07g1309012;Dcitr03g0737011;Dcitr07g0938011;Dcitr03g0740011;Dcitr07g0935011;Dcitr07g0571011;Dcitr07g1309011;Dcitr00g1406011;Dcitr07g0482011;Dcitr07g0568011;Dcitr07g0931011;Dcitr07g0483011;Dcitr06g0483012;Dcitr06g0482011;Dcitr06g0483011;Dcitr00g0885011
GO:0008455	alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity	Molecular_Function	2	Dcitr03g1239011;Dcitr03g1237011
GO:0006997	nucleus organization	Biological_Process	2	Dcitr05g0707011;Dcitr00g0872011
GO:0006421	asparaginyl-tRNA aminoacylation	Biological_Process	2	Dcitr06g1448011;Dcitr11g0311011
GO:0010390	histone monoubiquitination	Biological_Process	2	Dcitr08g0768011;Dcitr10g0668011
GO:0016480	negative regulation of transcription by RNA polymerase III	Biological_Process	2	Dcitr04g1474011;Dcitr04g1468011
GO:0005507	copper ion binding	Molecular_Function	30	Dcitr04g1034011;Dcitr04g0488011;Dcitr01g0878013;Dcitr04g1507011;Dcitr02g1227011;Dcitr01g1574011;Dcitr01g0878012;Dcitr01g0878011;Dcitr04g1506011;Dcitr12g0273011;Dcitr01g1897011;Dcitr03g1082011;Dcitr03g1086011;Dcitr12g0737011;Dcitr04g0968011;Dcitr04g1041011;Dcitr12g0709011;Dcitr12g0985011;Dcitr04g1031011;Dcitr01g0795011;Dcitr05g1117012;Dcitr12g0736011;Dcitr09g0928011;Dcitr01g1537011;Dcitr12g0708011;Dcitr05g1117011;Dcitr04g0962011;Dcitr02g1226011;Dcitr02g1231011;Dcitr05g1114011
GO:0007076	mitotic chromosome condensation	Biological_Process	8	Dcitr09g0604011;Dcitr09g0615011;Dcitr01g1209011;Dcitr03g1661011;Dcitr01g1209012;Dcitr09g0614011;Dcitr05g1682011;Dcitr03g1663011
GO:0036064	ciliary basal body	Cellular_Component	1	Dcitr10g0187011
GO:0005787	signal peptidase complex	Cellular_Component	8	Dcitr01g0946011;Dcitr10g0295011;Dcitr00g1344011;Dcitr06g1426011;Dcitr06g1430011;Dcitr04g0286011;Dcitr06g1432011;Dcitr01g0951011
GO:0042799	histone methyltransferase activity (H4-K20 specific)	Molecular_Function	1	Dcitr08g1007011
GO:0022904	respiratory electron transport chain	Biological_Process	2	Dcitr13g0608011;Dcitr13g0609011
GO:0016992	lipoate synthase activity	Molecular_Function	2	Dcitr06g1142011;Dcitr06g1144011
GO:0004449	isocitrate dehydrogenase (NAD+) activity	Molecular_Function	8	Dcitr02g1366012;Dcitr02g1366014;Dcitr02g1366015;Dcitr09g0522011;Dcitr00g0445011;Dcitr02g1366011;Dcitr11g0995011;Dcitr02g1366013
GO:0016052	carbohydrate catabolic process	Biological_Process	4	Dcitr03g1266012;Dcitr03g1264011;Dcitr03g1266013;Dcitr03g1266011
GO:0005549	odorant binding	Molecular_Function	37	Dcitr11g0859011;Dcitr12g0888011;Dcitr05g1420011;Dcitr01g0317011;Dcitr12g0890011;Dcitr01g0318011;Dcitr01g0122011;Dcitr07g0834011;Dcitr11g0101011;Dcitr01g0321011;Dcitr01g0802011;Dcitr11g0836011;Dcitr00g0146011;Dcitr02g0485011;Dcitr07g0828011;Dcitr04g1679011;Dcitr11g0536011;Dcitr08g0294011;Dcitr01g0123011;Dcitr11g0535011;Dcitr11g0855011;Dcitr08g0288011;Dcitr00g0384011;Dcitr01g0197011;Dcitr11g0222011;Dcitr08g0758011;Dcitr02g1712011;Dcitr07g0827011;Dcitr11g0227011;Dcitr10g0281011;Dcitr05g1425011;Dcitr01g0804011;Dcitr07g0832011;Dcitr08g0289011;Dcitr04g0973011;Dcitr01g2251011;Dcitr06g1016011
GO:0006367	transcription initiation from RNA polymerase II promoter	Biological_Process	15	Dcitr00g0588011;Dcitr00g0655011;Dcitr00g1325011;Dcitr05g0788011;Dcitr05g1130011;Dcitr09g0109011;Dcitr02g0681011;Dcitr00g0590011;Dcitr02g1959011;Dcitr00g0849011;Dcitr05g0789011;Dcitr05g0789012;Dcitr05g1375011;Dcitr05g0291011;Dcitr00g1440011
GO:0003951	NAD+ kinase activity	Molecular_Function	19	Dcitr09g0904011;Dcitr04g0611011;Dcitr10g1008011;Dcitr00g1020011;Dcitr07g0879011;Dcitr01g1670011;Dcitr01g1827011;Dcitr09g0907011;Dcitr01g1826011;Dcitr10g1003011;Dcitr02g0371011;Dcitr10g1008012;Dcitr07g0879012;Dcitr10g1001011;Dcitr10g1008013;Dcitr02g0383011;Dcitr07g0876011;Dcitr02g0372011;Dcitr04g0612011
GO:0006779	porphyrin-containing compound biosynthetic process	Biological_Process	4	Dcitr03g0277011;Dcitr07g1058011;Dcitr00g0491011;Dcitr06g0610011
GO:0030374	nuclear receptor transcription coactivator activity	Molecular_Function	1	Dcitr04g1316011
GO:0008286	insulin receptor signaling pathway	Biological_Process	1	Dcitr01g0479011
GO:0043484	regulation of RNA splicing	Biological_Process	2	Dcitr13g0622011;Dcitr04g0545011
GO:0019985	translesion synthesis	Biological_Process	1	Dcitr04g1067011
GO:0003756	protein disulfide isomerase activity	Molecular_Function	6	Dcitr08g1013011;Dcitr01g0958011;Dcitr12g0780011;Dcitr01g1498011;Dcitr08g1016011;Dcitr12g0785011
GO:0002151	G-quadruplex RNA binding	Molecular_Function	2	Dcitr02g0894011;Dcitr02g0892011
GO:0008236	serine-type peptidase activity	Molecular_Function	30	Dcitr05g1589011;Dcitr03g1837012;Dcitr04g0837012;Dcitr04g1000014;Dcitr12g0416011;Dcitr12g0419011;Dcitr11g0394011;Dcitr05g1591011;Dcitr04g1000012;Dcitr04g0834011;Dcitr04g0837011;Dcitr03g1837013;Dcitr03g1837011;Dcitr01g1720012;Dcitr08g0633011;Dcitr00g1162011;Dcitr04g1000011;Dcitr08g0634011;Dcitr04g1000013;Dcitr04g0836011;Dcitr01g1720011;Dcitr10g0295011;Dcitr06g0996011;Dcitr08g0381011;Dcitr08g0385011;Dcitr04g1000015;Dcitr12g0419012;Dcitr06g1014011;Dcitr02g1018011;Dcitr08g0793011
GO:0004335	galactokinase activity	Molecular_Function	2	Dcitr07g0131011;Dcitr05g1217011
GO:0004146	dihydrofolate reductase activity	Molecular_Function	3	Dcitr06g0230011;Dcitr08g1090011;Dcitr08g1086011
GO:0009231	riboflavin biosynthetic process	Biological_Process	2	Dcitr00g1136011;Dcitr00g1119011
GO:0045127	N-acetylglucosamine kinase activity	Molecular_Function	1	Dcitr09g0301011
GO:0022857	transmembrane transporter activity	Molecular_Function	303	Dcitr11g0156011;Dcitr02g0278011;Dcitr13g0435011;Dcitr05g1347013;Dcitr04g1389013;Dcitr11g0960011;Dcitr01g0945014;Dcitr04g1340011;Dcitr02g0223011;Dcitr00g0467011;Dcitr01g0393011;Dcitr04g1390012;Dcitr02g0497011;Dcitr05g1400011;Dcitr07g0523011;Dcitr11g0979011;Dcitr13g0435012;Dcitr09g0695011;Dcitr07g1114011;Dcitr04g1252011;Dcitr07g0467011;Dcitr08g0772011;Dcitr04g1502012;Dcitr04g1484011;Dcitr07g1115011;Dcitr00g0172011;Dcitr07g0859011;Dcitr05g0329011;Dcitr04g0411011;Dcitr04g1377013;Dcitr01g0397011;Dcitr01g0390011;Dcitr01g0564011;Dcitr13g0264011;Dcitr07g0678011;Dcitr07g0863011;Dcitr01g1682011;Dcitr13g0437011;Dcitr01g0899013;Dcitr01g0948011;Dcitr07g0467012;Dcitr08g0488011;Dcitr06g0352011;Dcitr02g1901011;Dcitr11g0543011;Dcitr04g0433011;Dcitr06g0978013;Dcitr07g0328011;Dcitr07g1051011;Dcitr01g2190011;Dcitr07g0884011;Dcitr07g1050011;Dcitr09g0230011;Dcitr08g1046011;Dcitr02g0277011;Dcitr09g0732011;Dcitr05g1347011;Dcitr04g0247014;Dcitr04g0247013;Dcitr02g1120011;Dcitr05g1401011;Dcitr01g0830011;Dcitr09g0865011;Dcitr00g0965011;Dcitr09g0858011;Dcitr13g0269011;Dcitr00g0679011;Dcitr10g1116011;Dcitr04g1161013;Dcitr10g0315012;Dcitr13g0270011;Dcitr02g0437011;Dcitr02g0646011;Dcitr04g1389011;Dcitr01g0560011;Dcitr07g0671011;Dcitr06g1060011;Dcitr09g0517011;Dcitr06g0138011;Dcitr09g0745011;Dcitr07g0521011;Dcitr07g1049011;Dcitr13g0689011;Dcitr06g1438011;Dcitr09g0838011;Dcitr02g0759011;Dcitr00g0532011;Dcitr11g0543012;Dcitr12g0511011;Dcitr00g1323011;Dcitr06g1237011;Dcitr03g1979011;Dcitr08g0898011;Dcitr01g0556011;Dcitr01g0830013;Dcitr00g0700011;Dcitr00g0919011;Dcitr01g0830015;Dcitr05g1392011;Dcitr07g0858011;Dcitr06g0978012;Dcitr00g0243011;Dcitr02g1163011;Dcitr13g0260011;Dcitr02g1223011;Dcitr08g0144011;Dcitr08g0108011;Dcitr01g0326011;Dcitr02g1785011;Dcitr06g1437011;Dcitr06g0951015;Dcitr01g0558012;Dcitr04g1377011;Dcitr01g1682012;Dcitr06g0978014;Dcitr01g0830014;Dcitr12g0576011;Dcitr03g0646011;Dcitr04g1161012;Dcitr05g1290011;Dcitr04g1161014;Dcitr07g1195011;Dcitr00g0171011;Dcitr02g1380011;Dcitr07g0790011;Dcitr01g0760011;Dcitr13g0688011;Dcitr07g0467015;Dcitr01g2033011;Dcitr08g0106011;Dcitr01g0963011;Dcitr05g1502011;Dcitr05g0348011;Dcitr08g0101011;Dcitr06g0951014;Dcitr01g0565011;Dcitr00g0945011;Dcitr01g0971011;Dcitr04g0738011;Dcitr07g0467014;Dcitr01g0333011;Dcitr04g0752011;Dcitr02g0437013;Dcitr01g0387012;Dcitr06g0262012;Dcitr05g0349011;Dcitr07g0677011;Dcitr06g1433011;Dcitr04g1502011;Dcitr02g0434011;Dcitr04g0761011;Dcitr10g0315011;Dcitr09g0832011;Dcitr04g1392012;Dcitr05g1041011;Dcitr06g1238011;Dcitr07g1197011;Dcitr10g1075011;Dcitr01g0558011;Dcitr01g1679011;Dcitr00g0467012;Dcitr07g0675011;Dcitr09g0741011;Dcitr09g0732012;Dcitr09g0863011;Dcitr01g0945013;Dcitr08g0781012;Dcitr01g0387013;Dcitr00g0806011;Dcitr04g0816011;Dcitr08g1124011;Dcitr07g0707011;Dcitr02g1115011;Dcitr00g1461011;Dcitr09g0232011;Dcitr02g1194011;Dcitr09g0514011;Dcitr08g0877011;Dcitr01g2186011;Dcitr02g0641011;Dcitr08g0160011;Dcitr04g1391011;Dcitr09g0840011;Dcitr06g0951012;Dcitr01g1219011;Dcitr01g1771011;Dcitr07g0522011;Dcitr06g0262011;Dcitr01g0558013;Dcitr05g1347012;Dcitr05g0602011;Dcitr08g0158011;Dcitr07g0460013;Dcitr02g0918011;Dcitr06g1436011;Dcitr07g0331011;Dcitr10g0188011;Dcitr04g1161015;Dcitr03g0365011;Dcitr01g0764011;Dcitr08g1129011;Dcitr04g1250011;Dcitr11g0959011;Dcitr01g0899012;Dcitr02g0919011;Dcitr01g0945012;Dcitr01g1678011;Dcitr05g1395011;Dcitr01g0969011;Dcitr04g1502015;Dcitr00g0706011;Dcitr09g0626011;Dcitr03g1970011;Dcitr13g0266011;Dcitr01g0949011;Dcitr05g0951011;Dcitr05g0338011;Dcitr05g0339011;Dcitr04g1480011;Dcitr00g0242011;Dcitr04g1394011;Dcitr03g0769011;Dcitr08g1270011;Dcitr03g1609011;Dcitr04g0249011;Dcitr09g0695012;Dcitr12g0574011;Dcitr01g0945011;Dcitr09g0868011;Dcitr02g1154011;Dcitr01g0561011;Dcitr09g0839011;Dcitr07g0882011;Dcitr04g1394012;Dcitr04g1161011;Dcitr01g0830012;Dcitr02g1381011;Dcitr04g1251011;Dcitr01g0899011;Dcitr01g2188011;Dcitr01g1220011;Dcitr04g1387011;Dcitr07g0864011;Dcitr04g1502014;Dcitr02g0532011;Dcitr09g0627011;Dcitr06g0978011;Dcitr09g0836011;Dcitr02g0437012;Dcitr09g0866011;Dcitr02g1068011;Dcitr01g0395011;Dcitr00g0324011;Dcitr04g1390011;Dcitr00g0964011;Dcitr04g1393011;Dcitr04g1392011;Dcitr01g0387011;Dcitr08g1043011;Dcitr08g0781011;Dcitr09g0231011;Dcitr04g1388011;Dcitr09g0855011;Dcitr01g1121011;Dcitr10g0315014;Dcitr10g0315013;Dcitr08g0875011;Dcitr06g0261011;Dcitr01g0385011;Dcitr10g0296011;Dcitr01g0969012;Dcitr04g1377012;Dcitr03g0647011;Dcitr05g0601011;Dcitr00g0241011;Dcitr07g0708011;Dcitr05g1347014;Dcitr06g1058011;Dcitr06g0951011;Dcitr10g1075012;Dcitr04g1502013;Dcitr07g0524011;Dcitr01g0829011;Dcitr07g0330011;Dcitr07g0789011;Dcitr01g0753011;Dcitr06g0347011;Dcitr02g0531011;Dcitr02g0223012;Dcitr04g0433012;Dcitr04g0247011;Dcitr05g0481011;Dcitr07g1269011;Dcitr02g0711011;Dcitr01g0559011;Dcitr04g0247012;Dcitr01g0565012;Dcitr03g1608011;Dcitr00g0616011;Dcitr04g1389012;Dcitr09g0449011;Dcitr06g0951013;Dcitr07g0467013
GO:0006086	acetyl-CoA biosynthetic process from pyruvate	Biological_Process	4	Dcitr06g1534011;Dcitr08g0418011;Dcitr08g0420011;Dcitr06g1213011
GO:0005272	sodium channel activity	Molecular_Function	8	Dcitr04g0386011;Dcitr05g0790011;Dcitr05g1238011;Dcitr04g0384011;Dcitr04g0385011;Dcitr05g0794011;Dcitr05g0790012;Dcitr05g0786011
GO:0000062	fatty-acyl-CoA binding	Molecular_Function	6	Dcitr10g1002011;Dcitr07g0142011;Dcitr07g0140011;Dcitr02g1610011;Dcitr10g1010011;Dcitr02g0262011
GO:0018344	protein geranylgeranylation	Biological_Process	9	Dcitr05g0795011;Dcitr11g0919012;Dcitr06g1473011;Dcitr04g0272011;Dcitr05g0792011;Dcitr11g0919013;Dcitr11g0919011;Dcitr04g0270011;Dcitr11g0919014
GO:0004045	aminoacyl-tRNA hydrolase activity	Molecular_Function	6	Dcitr04g0765011;Dcitr02g0538011;Dcitr01g1632011;Dcitr04g0769011;Dcitr01g1639011;Dcitr01g1629011
