Accession_ID	InterPro_Count	InterPro_IDs	InterPro_Types_and_Names
Dcitr10g1037011	7	IPR020472;IPR001680;IPR017986;IPR028608;IPR015943;IPR036322;IPR019775	"REPEAT:G-protein_beta_WD-40_rep";"REPEAT:WD40_repeat";"DOMAIN:WD40_repeat_dom";"FAMILY:CIAO1/Cia1";"HOMOLOGOUS_SUPERFAMILY:WD40/YVTN_repeat-like_dom_sf";"HOMOLOGOUS_SUPERFAMILY:WD40_repeat_dom_sf";"CONSERVED_SITE:WD40_repeat_CS"
Dcitr06g0895011	1	IPR042620	"FAMILY:NSUN7"
Dcitr04g1372011	2	IPR000744;IPR011990	"FAMILY:NSF_attach";"HOMOLOGOUS_SUPERFAMILY:TPR-like_helical_dom_sf"
Dcitr04g0602011	3	IPR016152;IPR013769;IPR003020	"HOMOLOGOUS_SUPERFAMILY:PTrfase/Anion_transptr";"DOMAIN:Band3_cytoplasmic_dom";"FAMILY:HCO3_transpt_euk"
Dcitr05g0528011	3	IPR001916;IPR023346;IPR019799	"FAMILY:Glyco_hydro_22";"HOMOLOGOUS_SUPERFAMILY:Lysozyme-like_dom_sf";"DOMAIN:Glyco_hydro_22_CS"
Dcitr03g1108011	4	IPR000172;IPR012132;IPR036188;IPR007867	"DOMAIN:GMC_OxRdtase_N";"FAMILY:GMC_OxRdtase";"HOMOLOGOUS_SUPERFAMILY:FAD/NAD-bd_sf";"DOMAIN:GMC_OxRtase_C"
Dcitr10g0954012	1	IPR006214	"FAMILY:Bax_inhibitor_1-related"
Dcitr06g0204011	1	IPR000996	"FAMILY:Clathrin_L-chain"
Dcitr05g0334011	1	IPR002659	"FAMILY:Glyco_trans_31"
Dcitr07g0631011	2	IPR036508;IPR002557	"HOMOLOGOUS_SUPERFAMILY:Chitin-bd_dom_sf";"DOMAIN:Chitin-bd_dom"
Dcitr03g0268011	4	IPR036156;IPR006104;IPR013783;IPR008979	"HOMOLOGOUS_SUPERFAMILY:Beta-gal/glucu_dom_sf";"DOMAIN:Glyco_hydro_2_N";"HOMOLOGOUS_SUPERFAMILY:Ig-like_fold";"HOMOLOGOUS_SUPERFAMILY:Galactose-bd-like_sf"
Dcitr01g0700011	3	IPR008158;IPR023391;IPR001901	"FAMILY:Translocase_Sec61-g";"HOMOLOGOUS_SUPERFAMILY:Prot_translocase_SecE_dom_sf";"FAMILY:Translocase_SecE/Sec61-g"
Dcitr08g1070011	1	IPR031828	"FAMILY:Myofilin"
Dcitr12g1035011	5	IPR013106;IPR036179;IPR007110;IPR013162;IPR013783	"DOMAIN:Ig_V-set";"HOMOLOGOUS_SUPERFAMILY:Ig-like_dom_sf";"DOMAIN:Ig-like_dom";"DOMAIN:CD80_C2-set";"HOMOLOGOUS_SUPERFAMILY:Ig-like_fold"
Dcitr11g0444011	2	IPR004108;IPR009016	"DOMAIN:Fe_hydrogenase_lsu_C";"HOMOLOGOUS_SUPERFAMILY:Fe_hydrogenase"
Dcitr07g0233011	3	IPR038253;IPR026258;IPR034652	"HOMOLOGOUS_SUPERFAMILY:SRP68_N_sf";"FAMILY:SRP68";"DOMAIN:SRP68-RBD"
Dcitr10g0475011	2	IPR019339;IPR040014	"DOMAIN:CIR_N_dom";"FAMILY:CIR1"
Dcitr03g1973011	2	IPR008389;IPR017385	"FAMILY:ATPase_V0-cplx_e1/e2_su";"FAMILY:ATPase_V0-cplx_e1/e2_su_met"
Dcitr11g0360011	2	IPR013083;IPR001965	"HOMOLOGOUS_SUPERFAMILY:Znf_RING/FYVE/PHD";"DOMAIN:Znf_PHD"
Dcitr13g0469011	1	IPR013594	"DOMAIN:Dynein_heavy_dom-1"
Dcitr10g0630011	2	IPR016488;IPR008011	"FAMILY:NADH_Ub_cplx-1_asu_su-6";"FAMILY:Complex1_LYR"
Dcitr04g0989011	4	IPR035969;IPR000195;IPR029063;IPR013216	"HOMOLOGOUS_SUPERFAMILY:Rab-GTPase_TBC_sf";"DOMAIN:Rab-GTPase-TBC_dom";"HOMOLOGOUS_SUPERFAMILY:SAM-dependent_MTases";"DOMAIN:Methyltransf_11"
Dcitr01g1681012	9	IPR007081;IPR006592;IPR000722;IPR007083;IPR007066;IPR042102;IPR007080;IPR038120;IPR015699	"DOMAIN:RNA_pol_Rpb1_5";"DOMAIN:RNA_pol_N";"DOMAIN:RNA_pol_asu";"DOMAIN:RNA_pol_Rpb1_4";"DOMAIN:RNA_pol_Rpb1_3";"HOMOLOGOUS_SUPERFAMILY:RNA_pol_Rpb1_3_sf";"DOMAIN:RNA_pol_Rpb1_1";"HOMOLOGOUS_SUPERFAMILY:Rpb1_funnel_sf";"FAMILY:DNA-dir_RNA_pol1_lsu"
Dcitr06g0299011	4	IPR035979;IPR000504;IPR012677;IPR037366	"HOMOLOGOUS_SUPERFAMILY:RBD_domain_sf";"DOMAIN:RRM_dom";"HOMOLOGOUS_SUPERFAMILY:Nucleotide-bd_a/b_plait_sf";"FAMILY:BOULE/DAZ"
Dcitr10g0289011	2	IPR013087;IPR036236	"DOMAIN:Znf_C2H2_type";"HOMOLOGOUS_SUPERFAMILY:Znf_C2H2_sf"
