InterPro_ID	InterPro_Type_and_Name	Accession_Count	Accession_IDs
IPR002126	DOMAIN:Cadherin-like_dom	33	Dcitr00g1155011;Dcitr01g1471011;Dcitr02g1315011;Dcitr01g1470011;Dcitr04g0881011;Dcitr06g0673011;Dcitr00g0718011;Dcitr04g0879011;Dcitr06g0156011;Dcitr02g1325011;Dcitr03g1246011;Dcitr01g0502011;Dcitr02g0949011;Dcitr01g1922011;Dcitr01g0702011;Dcitr01g1922012;Dcitr02g1316011;Dcitr03g1255011;Dcitr01g0705011;Dcitr01g1921011;Dcitr04g0885011;Dcitr02g1327011;Dcitr01g1412011;Dcitr08g0371011;Dcitr06g0674011;Dcitr04g0883011;Dcitr01g1473011;Dcitr01g1924011;Dcitr01g1293011;Dcitr02g1326011;Dcitr01g1437011;Dcitr06g0153011;Dcitr01g1915011
IPR026748	FAMILY:Clarin	1	Dcitr09g0550011
IPR037584	FAMILY:EIF4G1	1	Dcitr08g0638011
IPR031756	DOMAIN:BGBP_N	3	Dcitr02g1050011;Dcitr02g1055012;Dcitr02g1055011
IPR026874	FAMILY:Glucosidase_2_bsu	5	Dcitr02g1009011;Dcitr02g1005011;Dcitr02g1011011;Dcitr02g1015011;Dcitr02g1010011
IPR030336	FAMILY:ATP2C1	2	Dcitr12g0939011;Dcitr12g0938011
IPR019379	FAMILY:Gamma_Secretase_Asp_P_PEN2	1	Dcitr10g0120011
IPR013608	DOMAIN:VWA_N	4	Dcitr02g0740011;Dcitr02g1241011;Dcitr02g1251011;Dcitr02g0166011
IPR002821	DOMAIN:Hydantoinase_A	2	Dcitr00g1107011;Dcitr05g0671011
IPR040990	DOMAIN:DUF5600	4	Dcitr06g0890011;Dcitr13g0433012;Dcitr13g0433011;Dcitr05g1691011
IPR033960	FAMILY:EXOC5/Sec10	2	Dcitr03g1968011;Dcitr03g1965011
IPR029047	HOMOLOGOUS_SUPERFAMILY:HSP70_peptide-bd_sf	19	Dcitr10g0704011;Dcitr01g1981011;Dcitr03g0884011;Dcitr12g0542011;Dcitr03g0885011;Dcitr12g0790011;Dcitr00g1226011;Dcitr12g0787011;Dcitr12g0542012;Dcitr09g0625011;Dcitr03g0889011;Dcitr10g0651011;Dcitr01g1979011;Dcitr08g0313011;Dcitr09g0629011;Dcitr03g0897011;Dcitr00g1163011;Dcitr10g0715011;Dcitr04g1265011
IPR003840	FAMILY:DNA_helicase	1	Dcitr00g1411011
IPR024567	DOMAIN:RNase_HII/HIII_dom	1	Dcitr11g0316011
IPR018781	FAMILY:TPRA1/CAND2/CAND8	1	Dcitr02g1947011
IPR006906	DOMAIN:Timeless	2	Dcitr04g0294011;Dcitr00g1134011
IPR006554	DOMAIN:Helicase-like_DEXD_c2	5	Dcitr04g0619011;Dcitr12g0603011;Dcitr06g0608011;Dcitr00g0319011;Dcitr11g0406011
IPR033108	FAMILY:Jag2	3	Dcitr00g1455011;Dcitr08g0720011;Dcitr03g1438011
IPR013134	DOMAIN:Zn_hook_RAD50	3	Dcitr01g2066011;Dcitr01g2059012;Dcitr01g2059011
IPR004598	FAMILY:TFIIH_p52/Tfb2	2	Dcitr02g1880011;Dcitr02g1881011
IPR039496	DOMAIN:CCDC92/74_CC_dom	1	Dcitr12g0430011
