Accession_ID	Pathway_Count	Pathway_IDs	Pathway_Names
Dcitr04g0734011	3	Reactome: R-HSA-1989781;Reactome: R-HSA-212436;Reactome: R-HSA-381340	"PPARA activates gene expression";"Generic Transcription Pathway";"Transcriptional regulation of white adipocyte differentiation"
Dcitr09g0274011	7	Reactome: R-HSA-606279;Reactome: R-HSA-201722;Reactome: R-HSA-171319;Reactome: R-HSA-5689603;Reactome: R-HSA-5696394;Reactome: R-HSA-3214847;Reactome: R-HSA-5689880	"Deposition of new CENPA-containing nucleosomes at the centromere";"Formation of the beta-catenin:TCF transactivating complex";"Telomere Extension By Telomerase";"UCH proteinases";"DNA Damage Recognition in GG-NER";"HATs acetylate histones";"Ub-specific processing proteases"
Dcitr03g0755012	1	Reactome: R-HSA-8964539	"Glutamate and glutamine metabolism"
Dcitr06g0111013	1	Reactome: R-HSA-947581	"Molybdenum cofactor biosynthesis"
Dcitr01g2194011	2	Reactome: R-HSA-983231;Reactome: R-HSA-5205685	"Factors involved in megakaryocyte development and platelet production";"Pink/Parkin Mediated Mitophagy"
Dcitr06g1407011	1	Reactome: R-HSA-2995383	"Initiation of Nuclear Envelope Reformation"
Dcitr03g0851011	3	Reactome: R-HSA-76071;Reactome: R-HSA-6807505;Reactome: R-HSA-749476	"RNA Polymerase III Transcription Initiation From Type 3 Promoter";"RNA polymerase II transcribes snRNA genes";"RNA Polymerase III Abortive And Retractive Initiation"
Dcitr13g0262011	12	Reactome: R-HSA-72689;Reactome: R-HSA-6791226;Reactome: R-HSA-156827;Reactome: R-HSA-1799339;Reactome: R-HSA-9010553;Reactome: R-HSA-72706;Reactome: R-HSA-975957;Reactome: R-HSA-2408557;Reactome: R-HSA-72764;Reactome: R-HSA-192823;Reactome: R-HSA-156902;Reactome: R-HSA-975956	"Formation of a pool of free 40S subunits";"Major pathway of rRNA processing in the nucleolus and cytosol";"L13a-mediated translational silencing of Ceruloplasmin expression";"SRP-dependent cotranslational protein targeting to membrane";"Regulation of expression of SLITs and ROBOs";"GTP hydrolysis and joining of the 60S ribosomal subunit";"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)";"Selenocysteine synthesis";"Eukaryotic Translation Termination";"Viral mRNA Translation";"Peptide chain elongation";"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)"
Dcitr07g0767011	1	Reactome: R-HSA-9640463	"Wax biosynthesis"
Dcitr05g0111011	2	Reactome: R-HSA-383280;Reactome: R-HSA-4090294	"Nuclear Receptor transcription pathway";"SUMOylation of intracellular receptors"
Dcitr05g1031011	19	Reactome: R-HSA-8866423;Reactome: R-HSA-8963901;Reactome: R-HSA-8957275;Reactome: R-HSA-202733;Reactome: R-HSA-8856825;Reactome: R-HSA-8964038;Reactome: R-HSA-8856828;Reactome: R-HSA-3000480;Reactome: R-HSA-3000471;Reactome: R-HSA-8964026;Reactome: R-HSA-3000497;Reactome: R-HSA-8963888;Reactome: R-HSA-8964041;Reactome: R-HSA-381426;Reactome: R-HSA-5686938;Reactome: R-HSA-975634;Reactome: R-HSA-432142;Reactome: R-HSA-8964046;Reactome: R-HSA-3000484	"VLDL assembly";"Chylomicron remodeling";"Post-translational protein phosphorylation";"Cell surface interactions at the vascular wall";"Cargo recognition for clathrin-mediated endocytosis";"LDL clearance";"Clathrin-mediated endocytosis";"Scavenging by Class A Receptors";"Scavenging by Class B Receptors";"Chylomicron clearance";"Scavenging by Class H Receptors";"Chylomicron assembly";"LDL remodeling";"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)";"Regulation of TLR by endogenous ligand";"Retinoid metabolism and transport";"Platelet sensitization by LDL";"VLDL clearance";"Scavenging by Class F Receptors"
Dcitr00g0369011	12	Reactome: R-HSA-975956;Reactome: R-HSA-156902;Reactome: R-HSA-72764;Reactome: R-HSA-2408557;Reactome: R-HSA-192823;Reactome: R-HSA-72706;Reactome: R-HSA-975957;Reactome: R-HSA-72689;Reactome: R-HSA-156827;Reactome: R-HSA-1799339;Reactome: R-HSA-9010553;Reactome: R-HSA-6791226	"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)";"Peptide chain elongation";"Eukaryotic Translation Termination";"Selenocysteine synthesis";"Viral mRNA Translation";"GTP hydrolysis and joining of the 60S ribosomal subunit";"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)";"Formation of a pool of free 40S subunits";"L13a-mediated translational silencing of Ceruloplasmin expression";"SRP-dependent cotranslational protein targeting to membrane";"Regulation of expression of SLITs and ROBOs";"Major pathway of rRNA processing in the nucleolus and cytosol"
Dcitr01g1955011	2	Reactome: R-HSA-8876198;Reactome: R-HSA-204005	"RAB GEFs exchange GTP for GDP on RABs";"COPII-mediated vesicle transport"
Dcitr03g0823011	1	Reactome: R-HSA-936837	"Ion transport by P-type ATPases"
Dcitr07g0243012	1	Reactome: R-HSA-2672351	"Stimuli-sensing channels"
Dcitr08g0245011	1	Reactome: R-HSA-383280	"Nuclear Receptor transcription pathway"
Dcitr10g0257011	2	Reactome: R-HSA-1483166;Reactome: R-HSA-1483148	"Synthesis of PA";"Synthesis of PG"
Dcitr10g0745011	2	Reactome: R-HSA-6804758;Reactome: R-HSA-3214847	"Regulation of TP53 Activity through Acetylation";"HATs acetylate histones"
Dcitr13g0705011	1	Reactome: R-HSA-1660662	"Glycosphingolipid metabolism"
Dcitr01g1683011	1	Reactome: R-HSA-191859	"snRNP Assembly"
Dcitr01g2156011	1	Reactome: R-HSA-1660661	"Sphingolipid de novo biosynthesis"
Dcitr09g0956011	1	Reactome: R-HSA-1369062	"ABC transporters in lipid homeostasis"
Dcitr02g1798011	1	Reactome: R-HSA-8876198	"RAB GEFs exchange GTP for GDP on RABs"
Dcitr04g0978011	1	Reactome: R-HSA-1483166	"Synthesis of PA"
Dcitr00g0931011	1	Reactome: R-HSA-71384	"Ethanol oxidation"
Dcitr01g1512011	1	Reactome: R-HSA-1296072	"Voltage gated Potassium channels"
Dcitr03g0171012	1	Reactome: R-HSA-6798163	"Choline catabolism"
Dcitr02g1697011	2	Reactome: R-HSA-9033241;Reactome: R-HSA-9033500	"Peroxisomal protein import";"TYSND1 cleaves peroxisomal proteins"
Dcitr08g0638011	12	Reactome: R-HSA-1169408;Reactome: R-HSA-975957;Reactome: R-HSA-72706;Reactome: R-HSA-156827;Reactome: R-HSA-429947;Reactome: R-HSA-166208;Reactome: R-HSA-9010553;Reactome: R-HSA-72702;Reactome: R-HSA-450408;Reactome: R-HSA-975956;Reactome: R-HSA-72662;Reactome: R-HSA-72649	"ISG15 antiviral mechanism";"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)";"GTP hydrolysis and joining of the 60S ribosomal subunit";"L13a-mediated translational silencing of Ceruloplasmin expression";"Deadenylation of mRNA";"mTORC1-mediated signalling";"Regulation of expression of SLITs and ROBOs";"Ribosomal scanning and start codon recognition";"AUF1 (hnRNP D0) binds and destabilizes mRNA";"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)";"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S";"Translation initiation complex formation"
Dcitr03g0603011	1	Reactome: R-HSA-194840	"Rho GTPase cycle"
Dcitr11g0829011	1	Reactome: R-HSA-75876	"Synthesis of very long-chain fatty acyl-CoAs"
Dcitr08g0487011	1	Reactome: R-HSA-5662702	"Melanin biosynthesis"
Dcitr01g1718011	2	Reactome: R-HSA-382556;Reactome: R-HSA-5678895	"ABC-family proteins mediated transport";"Defective CFTR causes cystic fibrosis"
Dcitr01g1693011	1	Reactome: R-HSA-176974	"Unwinding of DNA"
Dcitr01g1190011	14	Reactome: R-HSA-5656121;Reactome: R-HSA-110312;Reactome: R-HSA-110320;Reactome: R-HSA-5651801;Reactome: R-HSA-69091;Reactome: R-HSA-110314;Reactome: R-HSA-174411;Reactome: R-HSA-5656169;Reactome: R-HSA-5655862;Reactome: R-HSA-6782210;Reactome: R-HSA-6782135;Reactome: R-HSA-5696397;Reactome: R-HSA-5685942;Reactome: R-HSA-5696400	"Translesion synthesis by POLI";"Translesion synthesis by REV1";"Translesion Synthesis by POLH";"PCNA-Dependent Long Patch Base Excision Repair";"Polymerase switching";"Recognition of DNA damage by PCNA-containing replication complex";"Polymerase switching on the C-strand of the telomere";"Termination of translesion DNA synthesis";"Translesion synthesis by POLK";"Gap-filling DNA repair synthesis and ligation in TC-NER";"Dual incision in TC-NER";"Gap-filling DNA repair synthesis and ligation in GG-NER";"HDR through Homologous Recombination (HRR)";"Dual Incision in GG-NER"
Dcitr04g1060012	1	Reactome: R-HSA-499943	"Interconversion of nucleotide di- and triphosphates"
Dcitr03g0843011	1	Reactome: R-HSA-9640463	"Wax biosynthesis"
Dcitr06g1390011	1	Reactome: R-HSA-72163	"mRNA Splicing - Major Pathway"
Dcitr06g1089011	5	Reactome: R-HSA-163754;Reactome: R-HSA-8950505;Reactome: R-HSA-6791055;Reactome: R-HSA-6791462;Reactome: R-HSA-71336	"Insulin effects increased synthesis of Xylulose-5-Phosphate";"Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation";"TALDO1 deficiency: failed conversion of SH7P, GA3P to Fru(6)P, E4P";"TALDO1 deficiency: failed conversion of Fru(6)P, E4P to SH7P, GA3P";"Pentose phosphate pathway"
Dcitr03g1527011	2	Reactome: R-HSA-5173214;Reactome: R-HSA-5083635	"O-glycosylation of TSR domain-containing proteins";"Defective B3GALTL causes Peters-plus syndrome (PpS)"
Dcitr08g1047011	1	Reactome: R-HSA-351202	"Metabolism of polyamines"
Dcitr12g0922011	2	Reactome: R-HSA-611105;Reactome: R-HSA-6799198	"Respiratory electron transport";"Complex I biogenesis"
Dcitr06g0976011	4	Reactome: R-HSA-1660662;Reactome: R-HSA-2024101;Reactome: R-HSA-2160916;Reactome: R-HSA-2022857	"Glycosphingolipid metabolism";"CS/DS degradation";"Hyaluronan uptake and degradation";"Keratan sulfate degradation"
Dcitr02g1390013	1	Reactome: R-HSA-189200	"Cellular hexose transport"
Dcitr11g0253012	1	Reactome: R-HSA-975957	"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"
Dcitr00g1227012	1	Reactome: R-HSA-75105	"Fatty acyl-CoA biosynthesis"
Dcitr13g0373011	2	Reactome: R-HSA-373080;Reactome: R-HSA-3238698	"Class B/2 (Secretin family receptors)";"WNT ligand biogenesis and trafficking"
Dcitr11g0489011	1	Reactome: R-HSA-3214847	"HATs acetylate histones"
Dcitr07g1058011	1	Reactome: R-HSA-189451	"Heme biosynthesis"
Dcitr12g0730011	1	Reactome: R-HSA-983168	"Antigen processing: Ubiquitination &amp; Proteasome degradation"
Dcitr13g0509011	2	Reactome: R-HSA-611105;Reactome: R-HSA-6799198	"Respiratory electron transport";"Complex I biogenesis"
Dcitr01g0387013	1	Reactome: R-HSA-189200	"Cellular hexose transport"
Dcitr11g0558012	5	Reactome: R-HSA-8856825;Reactome: R-HSA-8875360;Reactome: R-HSA-8856828;Reactome: R-HSA-6807004;Reactome: R-HSA-182971	"Cargo recognition for clathrin-mediated endocytosis";"InlB-mediated entry of Listeria monocytogenes into host cell";"Clathrin-mediated endocytosis";"Negative regulation of MET activity";"EGFR downregulation"
Dcitr02g1338011	3	Reactome: R-HSA-5419276;Reactome: R-HSA-5368286;Reactome: R-HSA-5389840	"Mitochondrial translation termination";"Mitochondrial translation initiation";"Mitochondrial translation elongation"
Dcitr03g2035011	1	Reactome: R-HSA-3108214	"SUMOylation of DNA damage response and repair proteins"
Dcitr09g0604011	1	Reactome: R-HSA-2514853	"Condensation of Prometaphase Chromosomes"
Dcitr03g1634012	2	Reactome: R-HSA-3214858;Reactome: R-HSA-8939243	"RMTs methylate histone arginines";"RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known"
Dcitr02g0236011	6	Reactome: R-HSA-390471;Reactome: R-HSA-5620922;Reactome: R-HSA-6814122;Reactome: R-HSA-390450;Reactome: R-HSA-389960;Reactome: R-HSA-389957	"Association of TriC/CCT with target proteins during biosynthesis";"BBSome-mediated cargo-targeting to cilium";"Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding";"Folding of actin by CCT/TriC";"Formation of tubulin folding intermediates by CCT/TriC";"Prefoldin mediated transfer of substrate to CCT/TriC"
Dcitr11g0424011	5	Reactome: R-HSA-5658442;Reactome: R-HSA-5218921;Reactome: R-HSA-186763;Reactome: R-HSA-8849471;Reactome: R-HSA-3928662	"Regulation of RAS by GAPs";"VEGFR2 mediated cell proliferation";"Downstream signal transduction";"PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases";"EPHB-mediated forward signaling"
Dcitr09g0890011	1	Reactome: R-HSA-6787450	"tRNA modification in the mitochondrion"
Dcitr12g0781011	1	Reactome: R-HSA-383280	"Nuclear Receptor transcription pathway"
Dcitr02g0908011	1	Reactome: R-HSA-420499	"Class C/3 (Metabotropic glutamate/pheromone receptors)"
Dcitr02g1220011	2	Reactome: R-HSA-163210;Reactome: R-HSA-8949613	"Formation of ATP by chemiosmotic coupling";"Cristae formation"
Dcitr00g0366011	1	Reactome: R-HSA-532668	"N-glycan trimming in the ER and Calnexin/Calreticulin cycle"
Dcitr04g1478011	2	Reactome: R-HSA-5357905;Reactome: R-HSA-5357956	"Regulation of TNFR1 signaling";"TNFR1-induced NFkappaB signaling pathway"
Dcitr00g1289011	6	Reactome: R-HSA-2122948;Reactome: R-HSA-2894862;Reactome: R-HSA-9013507;Reactome: R-HSA-2691232;Reactome: R-HSA-2644606;Reactome: R-HSA-2979096	"Activated NOTCH1 Transmits Signal to the Nucleus";"Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants";"NOTCH3 Activation and Transmission of Signal to the Nucleus";"Constitutive Signaling by NOTCH1 HD Domain Mutants";"Constitutive Signaling by NOTCH1 PEST Domain Mutants";"NOTCH2 Activation and Transmission of Signal to the Nucleus"
Dcitr10g0857011	1	Reactome: R-HSA-6782315	"tRNA modification in the nucleus and cytosol"
Dcitr04g1241011	4	Reactome: R-HSA-8951664;Reactome: R-HSA-8856825;Reactome: R-HSA-5696394;Reactome: R-HSA-6781823	"Neddylation";"Cargo recognition for clathrin-mediated endocytosis";"DNA Damage Recognition in GG-NER";"Formation of TC-NER Pre-Incision Complex"
Dcitr02g0894011	3	Reactome: R-HSA-3214847;Reactome: R-HSA-5696394;Reactome: R-HSA-5689603	"HATs acetylate histones";"DNA Damage Recognition in GG-NER";"UCH proteinases"
Dcitr09g0754011	57	Reactome: R-HSA-5689603;Reactome: R-HSA-8854050;Reactome: R-HSA-1236978;Reactome: R-HSA-5632684;Reactome: R-HSA-68949;Reactome: R-HSA-2467813;Reactome: R-HSA-6798695;Reactome: R-HSA-180534;Reactome: R-HSA-5610780;Reactome: R-HSA-5687128;Reactome: R-HSA-174154;Reactome: R-HSA-69481;Reactome: R-HSA-5668541;Reactome: R-HSA-69601;Reactome: R-HSA-211733;Reactome: R-HSA-9010553;Reactome: R-HSA-4641258;Reactome: R-HSA-4641257;Reactome: R-HSA-8939236;Reactome: R-HSA-450408;Reactome: R-HSA-68827;Reactome: R-HSA-69017;Reactome: R-HSA-5358346;Reactome: R-HSA-1236974;Reactome: R-HSA-8941858;Reactome: R-HSA-8939902;Reactome: R-HSA-5362768;Reactome: R-HSA-75815;Reactome: R-HSA-5676590;Reactome: R-HSA-4608870;Reactome: R-HSA-174178;Reactome: R-HSA-8948751;Reactome: R-HSA-187577;Reactome: R-HSA-349425;Reactome: R-HSA-983168;Reactome: R-HSA-174084;Reactome: R-HSA-2871837;Reactome: R-HSA-174113;Reactome: R-HSA-5607764;Reactome: R-HSA-1169091;Reactome: R-HSA-174184;Reactome: R-HSA-5689880;Reactome: R-HSA-202424;Reactome: R-HSA-180585;Reactome: R-HSA-5610783;Reactome: R-HSA-382556;Reactome: R-HSA-5607761;Reactome: R-HSA-9604323;Reactome: R-HSA-1234176;Reactome: R-HSA-195253;Reactome: R-HSA-8951664;Reactome: R-HSA-8852276;Reactome: R-HSA-5658442;Reactome: R-HSA-5610785;Reactome: R-HSA-350562;Reactome: R-HSA-5678895;Reactome: R-HSA-9020702	"UCH proteinases";"FBXL7 down-regulates AURKA during mitotic entry and in early mitosis";"Cross-presentation of soluble exogenous antigens (endosomes)";"Hedgehog 'on' state";"Orc1 removal from chromatin";"Separation of Sister Chromatids";"Neutrophil degranulation";"Vpu mediated degradation of CD4";"Degradation of GLI1 by the proteasome";"MAPK6/MAPK4 signaling";"APC/C:Cdc20 mediated degradation of Securin";"G2/M Checkpoints";"TNFR2 non-canonical NF-kB pathway";"Ubiquitin Mediated Degradation of Phosphorylated Cdc25A";"Regulation of activated PAK-2p34 by proteasome mediated degradation";"Regulation of expression of SLITs and ROBOs";"Degradation of DVL";"Degradation of AXIN";"RUNX1 regulates transcription of genes involved in differentiation of HSCs";"AUF1 (hnRNP D0) binds and destabilizes mRNA";"CDT1 association with the CDC6:ORC:origin complex";"CDK-mediated phosphorylation and removal of Cdc6";"Hedgehog ligand biogenesis";"ER-Phagosome pathway";"Regulation of RUNX3 expression and activity";"Regulation of RUNX2 expression and activity";"Hh mutants that don't undergo autocatalytic processing are degraded by ERAD";"Ubiquitin-dependent degradation of Cyclin D";"NIK--&gt;noncanonical NF-kB signaling";"Asymmetric localization of PCP proteins";"APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1";"Regulation of PTEN stability and activity";"SCF(Skp2)-mediated degradation of p27/p21";"Autodegradation of the E3 ubiquitin ligase COP1";"Antigen processing: Ubiquitination &amp; Proteasome degradation";"Autodegradation of Cdh1 by Cdh1:APC/C";"FCERI mediated NF-kB activation";"SCF-beta-TrCP mediated degradation of Emi1";"CLEC7A (Dectin-1) signaling";"Activation of NF-kappaB in B cells";"Cdc20:Phospho-APC/C mediated degradation of Cyclin A";"Ub-specific processing proteases";"Downstream TCR signaling";"Vif-mediated degradation of APOBEC3G";"Degradation of GLI2 by the proteasome";"ABC-family proteins mediated transport";"Dectin-1 mediated noncanonical NF-kB signaling";"Negative regulation of NOTCH4 signaling";"Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha";"Degradation of beta-catenin by the destruction complex";"Neddylation";"The role of GTSE1 in G2/M progression after G2 checkpoint";"Regulation of RAS by GAPs";"GLI3 is processed to GLI3R by the proteasome";"Regulation of ornithine decarboxylase (ODC)";"Defective CFTR causes cystic fibrosis";"Interleukin-1 signaling"
Dcitr10g0835011	4	Reactome: R-HSA-977225;Reactome: R-HSA-5689877;Reactome: R-HSA-983168;Reactome: R-HSA-5205685	"Amyloid fiber formation";"Josephin domain DUBs";"Antigen processing: Ubiquitination &amp; Proteasome degradation";"Pink/Parkin Mediated Mitophagy"
Dcitr07g0687011	1	Reactome: R-HSA-379726	"Mitochondrial tRNA aminoacylation"
Dcitr04g1277011	2	Reactome: R-HSA-5357956;Reactome: R-HSA-5357905	"TNFR1-induced NFkappaB signaling pathway";"Regulation of TNFR1 signaling"
Dcitr08g0368011	21	Reactome: R-HSA-5617833;Reactome: R-HSA-983189;Reactome: R-HSA-8852276;Reactome: R-HSA-6811436;Reactome: R-HSA-9619483;Reactome: R-HSA-5663220;Reactome: R-HSA-2500257;Reactome: R-HSA-68877;Reactome: R-HSA-6807878;Reactome: R-HSA-380320;Reactome: R-HSA-3371497;Reactome: R-HSA-190840;Reactome: R-HSA-1445148;Reactome: R-HSA-9609736;Reactome: R-HSA-8955332;Reactome: R-HSA-190861;Reactome: R-HSA-6811434;Reactome: R-HSA-5626467;Reactome: R-HSA-437239;Reactome: R-HSA-2467813;Reactome: R-HSA-2132295	"Cilium Assembly";"Kinesins";"The role of GTSE1 in G2/M progression after G2 checkpoint";"COPI-independent Golgi-to-ER retrograde traffic";"Activation of AMPK downstream of NMDARs";"RHO GTPases Activate Formins";"Resolution of Sister Chromatid Cohesion";"Mitotic Prometaphase";"COPI-mediated anterograde transport";"Recruitment of NuMA to mitotic centrosomes";"HSP90 chaperone cycle for steroid hormone receptors (SHR)";"Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane";"Translocation of SLC2A4 (GLUT4) to the plasma membrane";"Assembly and cell surface presentation of NMDA receptors";"Carboxyterminal post-translational modifications of tubulin";"Gap junction assembly";"COPI-dependent Golgi-to-ER retrograde traffic";"RHO GTPases activate IQGAPs";"Recycling pathway of L1";"Separation of Sister Chromatids";"MHC class II antigen presentation"
