Accession_ID	GO_Count	BP_GO_IDs	BP_GO_Names	MF_GO_IDs	MF_GO_Names	CC_GO_IDs	CC_GO_Names
Dcitr01g0252011	2	GO:0055114	"oxidation-reduction process"	GO:0016702	"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen"		
Dcitr06g0224011	1			GO:0000166	"nucleotide binding"		
Dcitr00g0759011	3	GO:0006511;GO:0016579	"ubiquitin-dependent protein catabolic process";"protein deubiquitination"	GO:0036459	"thiol-dependent ubiquitinyl hydrolase activity"		
Dcitr00g0861011	1	GO:0032981	"mitochondrial respiratory chain complex I assembly"				
Dcitr00g0804011	1			GO:0016747	"transferase activity, transferring acyl groups other than amino-acyl groups"		
Dcitr01g1395011	1			GO:0004040	"amidase activity"		
Dcitr09g0377011	1	GO:0045721	"negative regulation of gluconeogenesis"				
Dcitr04g1153011	5	GO:0019752;GO:0006520	"carboxylic acid metabolic process";"cellular amino acid metabolic process"	GO:0030170;GO:0003824;GO:0016831	"pyridoxal phosphate binding";"catalytic activity";"carboxy-lyase activity"		
Dcitr12g0476011	1			GO:0003676	"nucleic acid binding"		
Dcitr01g0919011	3	GO:0120009	"intermembrane lipid transfer"	GO:0120013	"lipid transfer activity"	GO:0005737	"cytoplasm"
Dcitr13g0593011	3	GO:0006886;GO:0006897	"intracellular protein transport";"endocytosis"			GO:0030904	"retromer complex"
Dcitr04g1583011	4	GO:0006468	"protein phosphorylation"	GO:0004713;GO:0005524;GO:0004672	"protein tyrosine kinase activity";"ATP binding";"protein kinase activity"		
Dcitr10g0542012	5	GO:0010738	"regulation of protein kinase A signaling"	GO:0003723;GO:0003676;GO:0034237	"RNA binding";"nucleic acid binding";"protein kinase A regulatory subunit binding"	GO:0005739	"mitochondrion"
Dcitr05g0969011	1			GO:0016791	"phosphatase activity"		
Dcitr01g1590012	2			GO:0061575	"cyclin-dependent protein serine/threonine kinase activator activity"	GO:0016533	"protein kinase 5 complex"
Dcitr13g0385012	3	GO:0008643	"carbohydrate transport"	GO:0015293	"symporter activity"	GO:0016021	"integral component of membrane"
Dcitr05g1358011	3			GO:0008270;GO:0003676	"zinc ion binding";"nucleic acid binding"	GO:0005634	"nucleus"
Dcitr01g1638011	3	GO:0055085	"transmembrane transport"	GO:0015267	"channel activity"	GO:0016020	"membrane"
Dcitr07g1017011	2	GO:0015074	"DNA integration"	GO:0003676	"nucleic acid binding"		
Dcitr04g1651011	1					GO:0032039	"integrator complex"
Dcitr03g1790013	3			GO:0070403;GO:0017136;GO:0008270	"NAD+ binding";"NAD-dependent histone deacetylase activity";"zinc ion binding"		
Dcitr01g1775011	3	GO:0055114	"oxidation-reduction process"	GO:0004471;GO:0051287	"malate dehydrogenase (decarboxylating) (NAD+) activity";"NAD binding"		
Dcitr01g0829011	2	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"		
Dcitr12g0259011	5	GO:0009396;GO:0009058	"folic acid-containing compound biosynthetic process";"biosynthetic process"	GO:0016874;GO:0005524;GO:0004326	"ligase activity";"ATP binding";"tetrahydrofolylpolyglutamate synthase activity"		
Dcitr10g0987011	3			GO:0016887;GO:0005524	"ATPase activity";"ATP binding"	GO:0016020	"membrane"
Dcitr03g0880011	3	GO:0006164	"purine nucleotide biosynthetic process"	GO:0005525;GO:0004019	"GTP binding";"adenylosuccinate synthase activity"		
Dcitr10g0447012	2			GO:0003774	"motor activity"	GO:0016459	"myosin complex"
Dcitr02g0855011	2	GO:0007017	"microtubule-based process"			GO:0005874	"microtubule"
Dcitr02g0981011	1			GO:0016409	"palmitoyltransferase activity"		
Dcitr08g0110012	6	GO:0006811	"ion transport"	GO:0038023;GO:0015276;GO:0004970;GO:0005216	"signaling receptor activity";"ligand-gated ion channel activity";"ionotropic glutamate receptor activity";"ion channel activity"	GO:0016020	"membrane"
Dcitr08g0385011	3	GO:0006508	"proteolysis"	GO:0008236;GO:0005509	"serine-type peptidase activity";"calcium ion binding"		
Dcitr02g0612011	3			GO:0005524;GO:0016887	"ATP binding";"ATPase activity"	GO:0016020	"membrane"
Dcitr05g0282011	4	GO:0009165;GO:0009116	"nucleotide biosynthetic process";"nucleoside metabolic process"	GO:0004749;GO:0000287	"ribose phosphate diphosphokinase activity";"magnesium ion binding"		
Dcitr06g0877011	4	GO:0006468;GO:0035556	"protein phosphorylation";"intracellular signal transduction"	GO:0005524;GO:0004672	"ATP binding";"protein kinase activity"		
Dcitr05g1088011	3	GO:0016579;GO:0006511	"protein deubiquitination";"ubiquitin-dependent protein catabolic process"	GO:0036459	"thiol-dependent ubiquitinyl hydrolase activity"		
Dcitr02g1686011	2					GO:0016020;GO:0016021	"membrane";"integral component of membrane"
Dcitr13g0589011	4	GO:0006468	"protein phosphorylation"	GO:0005524;GO:0004707;GO:0004672	"ATP binding";"MAP kinase activity";"protein kinase activity"		
Dcitr08g0329011	2			GO:0008061	"chitin binding"	GO:0005576	"extracellular region"
Dcitr04g1673011	2	GO:0006464	"cellular protein modification process"	GO:0005524	"ATP binding"		
Dcitr05g1262011	3	GO:0007018	"microtubule-based movement"	GO:0003777	"microtubule motor activity"	GO:0030286	"dynein complex"
Dcitr04g0719011	2	GO:0006384	"transcription initiation from RNA polymerase III promoter"			GO:0000127	"transcription factor TFIIIC complex"
Dcitr08g0594011	1	GO:0009116	"nucleoside metabolic process"				
Dcitr08g0164011	2	GO:0016192	"vesicle-mediated transport"			GO:0016021	"integral component of membrane"
Dcitr11g0386011	1	GO:0007399	"nervous system development"				
Dcitr00g0988011	3	GO:0055114	"oxidation-reduction process"	GO:0016491;GO:0016620	"oxidoreductase activity";"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"		
Dcitr00g1276011	3	GO:0006508	"proteolysis"	GO:0008237;GO:0004222	"metallopeptidase activity";"metalloendopeptidase activity"		
Dcitr08g0423011	2	GO:0006488	"dolichol-linked oligosaccharide biosynthetic process"	GO:0106073	"dolichyl pyrophosphate Glc2Man9GlcNAc2 alpha-1,2-glucosyltransferase activity"		
Dcitr07g0191011	1			GO:0046983	"protein dimerization activity"		
Dcitr08g0511011	6	GO:0034220;GO:0006811	"ion transmembrane transport";"ion transport"	GO:0005230;GO:0004888;GO:0005216	"extracellular ligand-gated ion channel activity";"transmembrane signaling receptor activity";"ion channel activity"	GO:0016021	"integral component of membrane"
Dcitr00g0955011	3	GO:0006814;GO:0006813	"sodium ion transport";"potassium ion transport"			GO:0005890	"sodium:potassium-exchanging ATPase complex"
Dcitr11g0472011	2			GO:0030414	"peptidase inhibitor activity"	GO:0005576	"extracellular region"
Dcitr08g0349011	1			GO:0004013	"adenosylhomocysteinase activity"		
Dcitr04g0705011	5	GO:0006355	"regulation of transcription, DNA-templated"	GO:0003677;GO:0003700	"DNA binding";"DNA-binding transcription factor activity"	GO:0005634;GO:0042025	"nucleus";"host cell nucleus"
Dcitr05g1045011	5	GO:0006468;GO:0007169	"protein phosphorylation";"transmembrane receptor protein tyrosine kinase signaling pathway"	GO:0004714;GO:0005524	"transmembrane receptor protein tyrosine kinase activity";"ATP binding"	GO:0016020	"membrane"
Dcitr10g0273011	1			GO:0003676	"nucleic acid binding"		
Dcitr05g0632011	2			GO:0003774	"motor activity"	GO:0016459	"myosin complex"
Dcitr07g0967011	4	GO:0006979;GO:0055114	"response to oxidative stress";"oxidation-reduction process"	GO:0020037;GO:0004601	"heme binding";"peroxidase activity"		
Dcitr03g0239011	4			GO:0004587;GO:0008483;GO:0003824;GO:0030170	"ornithine-oxo-acid transaminase activity";"transaminase activity";"catalytic activity";"pyridoxal phosphate binding"		
Dcitr05g0335011	2					GO:0005886;GO:0016020	"plasma membrane";"membrane"
Dcitr05g0676011	3	GO:0006412	"translation"	GO:0003735	"structural constituent of ribosome"	GO:0005840	"ribosome"
Dcitr04g1289011	3	GO:0006355	"regulation of transcription, DNA-templated"	GO:0003700	"DNA-binding transcription factor activity"	GO:0005634	"nucleus"
Dcitr10g0675011	4	GO:0055114	"oxidation-reduction process"	GO:0020037;GO:0005506;GO:0016705	"heme binding";"iron ion binding";"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"		
Dcitr01g1951011	1			GO:0003676	"nucleic acid binding"		
Dcitr09g0219012	4	GO:0006414	"translational elongation"	GO:0003924;GO:0003746;GO:0005525	"GTPase activity";"translation elongation factor activity";"GTP binding"		
Dcitr01g1922011	5	GO:0007155;GO:0007156	"cell adhesion";"homophilic cell adhesion via plasma membrane adhesion molecules"	GO:0005509	"calcium ion binding"	GO:0016020;GO:0005886	"membrane";"plasma membrane"
Dcitr01g1201012	3	GO:0006629	"lipid metabolic process"	GO:0052689;GO:0004806	"carboxylic ester hydrolase activity";"triglyceride lipase activity"		
Dcitr06g0940011	4	GO:0055114	"oxidation-reduction process"	GO:0003824;GO:0010181;GO:0016491	"catalytic activity";"FMN binding";"oxidoreductase activity"		
Dcitr05g1174011	6	GO:0006508	"proteolysis"	GO:0008270;GO:0005524;GO:0004222	"zinc ion binding";"ATP binding";"metalloendopeptidase activity"	GO:0016020;GO:0016021	"membrane";"integral component of membrane"
Dcitr07g0375011	3	GO:0007186	"G protein-coupled receptor signaling pathway"	GO:0004930	"G protein-coupled receptor activity"	GO:0016021	"integral component of membrane"
Dcitr02g0355011	3	GO:0000272	"polysaccharide catabolic process"	GO:0008810;GO:0004553	"cellulase activity";"hydrolase activity, hydrolyzing O-glycosyl compounds"		
Dcitr11g0760011	2	GO:0006508	"proteolysis"	GO:0004252	"serine-type endopeptidase activity"		
Dcitr04g1675012	1			GO:0052855	"ADP-dependent NAD(P)H-hydrate dehydratase activity"		
Dcitr05g0310013	1			GO:0005525	"GTP binding"		
Dcitr02g1077011	2	GO:0008299	"isoprenoid biosynthetic process"	GO:0016765	"transferase activity, transferring alkyl or aryl (other than methyl) groups"		
Dcitr10g1086011	3	GO:0007219;GO:0016567	"Notch signaling pathway";"protein ubiquitination"	GO:0008270	"zinc ion binding"		
Dcitr01g1845011	1			GO:0046983	"protein dimerization activity"		
Dcitr04g1182011	2	GO:0015074	"DNA integration"	GO:0003676	"nucleic acid binding"		
Dcitr12g0958011	4	GO:0016070;GO:0008033	"RNA metabolic process";"tRNA processing"	GO:0004526;GO:0004540	"ribonuclease P activity";"ribonuclease activity"		
Dcitr10g0549011	1			GO:0003676	"nucleic acid binding"		
Dcitr08g1041011	1			GO:0008073	"ornithine decarboxylase inhibitor activity"		
Dcitr10g1007011	5	GO:0055114;GO:0046416	"oxidation-reduction process";"D-amino acid metabolic process"	GO:0071949;GO:0016491;GO:0003884	"FAD binding";"oxidoreductase activity";"D-amino-acid oxidase activity"		
Dcitr01g1302011	3	GO:0006355	"regulation of transcription, DNA-templated"			GO:0042025;GO:0030015	"host cell nucleus";"CCR4-NOT core complex"
Dcitr06g0385011	4	GO:0055085;GO:0030001	"transmembrane transport";"metal ion transport"	GO:0046873	"metal ion transmembrane transporter activity"	GO:0016020	"membrane"
Dcitr07g1224012	3	GO:0006508	"proteolysis"	GO:0008237;GO:0008270	"metallopeptidase activity";"zinc ion binding"		
Dcitr02g1372011	2	GO:0032958	"inositol phosphate biosynthetic process"	GO:0016301	"kinase activity"		
Dcitr01g1473011	5	GO:0007156;GO:0007155	"homophilic cell adhesion via plasma membrane adhesion molecules";"cell adhesion"	GO:0005509	"calcium ion binding"	GO:0016020;GO:0005886	"membrane";"plasma membrane"
Dcitr11g0200011	3	GO:0007268;GO:0035556	"chemical synaptic transmission";"intracellular signal transduction"	GO:0019992	"diacylglycerol binding"		
Dcitr12g0290011	3	GO:0001510;GO:0009452	"RNA methylation";"7-methylguanosine RNA capping"	GO:0008168	"methyltransferase activity"		
Dcitr10g0879014	3	GO:0055114	"oxidation-reduction process"	GO:0016491;GO:0016620	"oxidoreductase activity";"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"		
Dcitr02g0734011	3	GO:0015986	"ATP synthesis coupled proton transport"	GO:0015078	"proton transmembrane transporter activity"	GO:0000276	"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
Dcitr06g0100011	4	GO:0055114	"oxidation-reduction process"	GO:0051287;GO:0050661;GO:0016491	"NAD binding";"NADP binding";"oxidoreductase activity"		
Dcitr03g0939011	1			GO:0003676	"nucleic acid binding"		
Dcitr01g1222011	4	GO:0006468	"protein phosphorylation"	GO:0004713;GO:0005524;GO:0004672	"protein tyrosine kinase activity";"ATP binding";"protein kinase activity"		
Dcitr03g0649011	2	GO:0019441	"tryptophan catabolic process to kynurenine"	GO:0004061	"arylformamidase activity"		
Dcitr05g1099011	2			GO:0003743;GO:0003723	"translation initiation factor activity";"RNA binding"		
Dcitr03g0174011	4	GO:0006412	"translation"	GO:0003735	"structural constituent of ribosome"	GO:0005840;GO:0005739	"ribosome";"mitochondrion"
Dcitr12g0765011	1	GO:0007186	"G protein-coupled receptor signaling pathway"				
Dcitr01g1213011	2	GO:0045892	"negative regulation of transcription, DNA-templated"	GO:0003682	"chromatin binding"		
Dcitr10g0299011	3	GO:0006412	"translation"	GO:0003735	"structural constituent of ribosome"	GO:0005840	"ribosome"
Dcitr13g0169011	3	GO:0000154	"rRNA modification"	GO:0008649;GO:0000179	"rRNA methyltransferase activity";"rRNA (adenine-N6,N6-)-dimethyltransferase activity"		
Dcitr04g0770011	4	GO:0055114	"oxidation-reduction process"	GO:0016705;GO:0005506;GO:0020037	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen";"iron ion binding";"heme binding"		
Dcitr07g1268011	1	GO:0008299	"isoprenoid biosynthetic process"				
Dcitr02g0312011	1	GO:0035556	"intracellular signal transduction"				
Dcitr09g0737011	1					GO:0032299	"ribonuclease H2 complex"
Dcitr02g1724011	1					GO:0016021	"integral component of membrane"
Dcitr02g0143011	2			GO:0004364	"glutathione transferase activity"	GO:0005737	"cytoplasm"
Dcitr05g0173011	2	GO:0006508	"proteolysis"	GO:0008234	"cysteine-type peptidase activity"		
Dcitr01g1554011	1					GO:0071203	"WASH complex"
Dcitr02g1561011	1			GO:0003676	"nucleic acid binding"		
Dcitr01g1610011	2			GO:0061575	"cyclin-dependent protein serine/threonine kinase activator activity"	GO:0016533	"protein kinase 5 complex"
Dcitr08g1014011	5	GO:0007169;GO:0006468	"transmembrane receptor protein tyrosine kinase signaling pathway";"protein phosphorylation"	GO:0005524;GO:0004714	"ATP binding";"transmembrane receptor protein tyrosine kinase activity"	GO:0016020	"membrane"
Dcitr06g0563011	1			GO:0004842	"ubiquitin-protein transferase activity"		
Dcitr04g0873011	2			GO:0003713	"transcription coactivator activity"	GO:0016020	"membrane"
Dcitr12g0312013	1			GO:0003676	"nucleic acid binding"		
Dcitr10g1040011	3	GO:0006813	"potassium ion transport"	GO:0005242	"inward rectifier potassium channel activity"	GO:0016021	"integral component of membrane"
Dcitr09g0740011	1					GO:0032299	"ribonuclease H2 complex"
Dcitr07g0260011	2			GO:0003924;GO:0005525	"GTPase activity";"GTP binding"		
Dcitr06g0771011	3	GO:0006413	"translational initiation"	GO:0003743;GO:0003723	"translation initiation factor activity";"RNA binding"		
Dcitr02g1938011	6	GO:0045454;GO:0007186	"cell redox homeostasis";"G protein-coupled receptor signaling pathway"	GO:0004930;GO:0005000;GO:0016491	"G protein-coupled receptor activity";"vasopressin receptor activity";"oxidoreductase activity"	GO:0016021	"integral component of membrane"
Dcitr10g1008011	2			GO:0003951;GO:0016301	"NAD+ kinase activity";"kinase activity"		
Dcitr01g2115011	4	GO:0006432	"phenylalanyl-tRNA aminoacylation"	GO:0003723;GO:0000287;GO:0005524	"RNA binding";"magnesium ion binding";"ATP binding"		
Dcitr06g1229011	2			GO:0005524;GO:0003676	"ATP binding";"nucleic acid binding"		
Dcitr06g1521011	4	GO:0055085;GO:0006812	"transmembrane transport";"cation transport"	GO:0008324	"cation transmembrane transporter activity"	GO:0016021	"integral component of membrane"
Dcitr05g1093011	2	GO:0007165	"signal transduction"	GO:0005096	"GTPase activator activity"		
Dcitr03g0990011	1					GO:0005634	"nucleus"
Dcitr04g1628011	2			GO:0005524;GO:0003676	"ATP binding";"nucleic acid binding"		
Dcitr03g1742011	3	GO:0007155	"cell adhesion"	GO:0051015;GO:0045296	"actin filament binding";"cadherin binding"		
Dcitr01g2027011	1			GO:0003824	"catalytic activity"		
Dcitr10g1108011	3	GO:0006887	"exocytosis"	GO:0017137	"Rab GTPase binding"	GO:0016020	"membrane"
Dcitr11g0448011	7	GO:0005978;GO:0006468	"glycogen biosynthetic process";"protein phosphorylation"	GO:0005516;GO:0004689;GO:0004672;GO:0005524	"calmodulin binding";"phosphorylase kinase activity";"protein kinase activity";"ATP binding"	GO:0005964	"phosphorylase kinase complex"
Dcitr02g0268011	2			GO:0003924;GO:0005525	"GTPase activity";"GTP binding"		
Dcitr01g1684012	7	GO:0006355	"regulation of transcription, DNA-templated"	GO:0008270;GO:0003677;GO:0003707;GO:0043565;GO:0003700	"zinc ion binding";"DNA binding";"steroid hormone receptor activity";"sequence-specific DNA binding";"DNA-binding transcription factor activity"	GO:0042025	"host cell nucleus"
Dcitr10g0469012	2			GO:0005328	"neurotransmitter:sodium symporter activity"	GO:0016021	"integral component of membrane"
Dcitr02g0659011	2	GO:0005975	"carbohydrate metabolic process"	GO:0008061	"chitin binding"		
Dcitr04g1633011	3	GO:0006412	"translation"	GO:0003735	"structural constituent of ribosome"	GO:0005840	"ribosome"
Dcitr08g0909011	2			GO:0005525;GO:0003924	"GTP binding";"GTPase activity"		
Dcitr04g1432011	2	GO:0050909	"sensory perception of taste"			GO:0016021	"integral component of membrane"
Dcitr03g1838011	2	GO:0006508	"proteolysis"	GO:0004252	"serine-type endopeptidase activity"		
Dcitr02g1062011	5	GO:0055114	"oxidation-reduction process"	GO:0005506;GO:0016491;GO:0050660;GO:0071949	"iron ion binding";"oxidoreductase activity";"flavin adenine dinucleotide binding";"FAD binding"		
Dcitr03g2021011	1			GO:0008017	"microtubule binding"		
Dcitr06g1418011	7	GO:0009190;GO:0035556;GO:0006182	"cyclic nucleotide biosynthetic process";"intracellular signal transduction";"cGMP biosynthetic process"	GO:0004383;GO:0016849;GO:0020037	"guanylate cyclase activity";"phosphorus-oxygen lyase activity";"heme binding"	GO:0016021	"integral component of membrane"
Dcitr00g0523011	2	GO:0022900	"electron transport chain"	GO:0004174	"electron-transferring-flavoprotein dehydrogenase activity"		
Dcitr07g0193011	2	GO:0006508	"proteolysis"	GO:0008234	"cysteine-type peptidase activity"		
Dcitr03g1499011	3	GO:0006468	"protein phosphorylation"	GO:0004672;GO:0005524	"protein kinase activity";"ATP binding"		
Dcitr10g0400011	3	GO:0055114	"oxidation-reduction process"	GO:0016971;GO:0016972	"flavin-linked sulfhydryl oxidase activity";"thiol oxidase activity"		
Dcitr02g0795013	2	GO:0007009	"plasma membrane organization"	GO:0003779	"actin binding"		
Dcitr03g0481011	3			GO:0008270;GO:0003676	"zinc ion binding";"nucleic acid binding"	GO:0005634	"nucleus"
Dcitr00g1441011	1			GO:0003676	"nucleic acid binding"		
Dcitr08g1004012	6	GO:0045104;GO:0007010	"intermediate filament cytoskeleton organization";"cytoskeleton organization"	GO:0008017;GO:0005509;GO:0008092	"microtubule binding";"calcium ion binding";"cytoskeletal protein binding"	GO:0005856	"cytoskeleton"
Dcitr08g0383011	1			GO:0005509	"calcium ion binding"		
Dcitr02g1192011	3	GO:0006357	"regulation of transcription by RNA polymerase II"	GO:0003712	"transcription coregulator activity"	GO:0016592	"mediator complex"
Dcitr08g0800011	2	GO:0006751	"glutathione catabolic process"	GO:0003839	"gamma-glutamylcyclotransferase activity"		
Dcitr02g0434011	11	GO:0006811;GO:0006412;GO:1902476;GO:0055085;GO:0071477	"ion transport";"translation";"chloride transmembrane transport";"transmembrane transport";"cellular hypotonic salinity response"	GO:0015379;GO:0022857;GO:0003735	"potassium:chloride symporter activity";"transmembrane transporter activity";"structural constituent of ribosome"	GO:0016020;GO:0005840;GO:0005887	"membrane";"ribosome";"integral component of plasma membrane"
Dcitr06g0164011	3	GO:0005975;GO:0006044	"carbohydrate metabolic process";"N-acetylglucosamine metabolic process"	GO:0004342	"glucosamine-6-phosphate deaminase activity"		
Dcitr05g1423013	1	GO:0006606	"protein import into nucleus"				
Dcitr08g0649011	3	GO:0006468	"protein phosphorylation"	GO:0004672;GO:0005524	"protein kinase activity";"ATP binding"		
Dcitr07g0928011	3			GO:0003774;GO:0005524	"motor activity";"ATP binding"	GO:0016459	"myosin complex"
Dcitr01g0878011	6	GO:0008535;GO:0006825;GO:0045454;GO:0006878	"respiratory chain complex IV assembly";"copper ion transport";"cell redox homeostasis";"cellular copper ion homeostasis"	GO:0005507	"copper ion binding"	GO:0005743	"mitochondrial inner membrane"
Dcitr10g0801011	1	GO:0045721	"negative regulation of gluconeogenesis"				
Dcitr08g0464011	2			GO:0008270;GO:0004089	"zinc ion binding";"carbonate dehydratase activity"		
Dcitr05g0324011	4	GO:0006468	"protein phosphorylation"	GO:0004674;GO:0004672;GO:0005524	"protein serine/threonine kinase activity";"protein kinase activity";"ATP binding"		
Dcitr06g0890011	3	GO:0032456	"endocytic recycling"	GO:0005525;GO:0005509	"GTP binding";"calcium ion binding"		
Dcitr01g1233011	3	GO:0006368	"transcription elongation from RNA polymerase II promoter"			GO:0030891;GO:0070449	"VCB complex";"elongin complex"
Dcitr12g0516011	6	GO:0006139;GO:0009116	"nucleobase-containing compound metabolic process";"nucleoside metabolic process"	GO:0003924;GO:0004731;GO:0005525;GO:0003824	"GTPase activity";"purine-nucleoside phosphorylase activity";"GTP binding";"catalytic activity"		
Dcitr10g0480011	1					GO:0072546	"ER membrane protein complex"
Dcitr03g1103011	2	GO:0006986	"response to unfolded protein"			GO:0016021	"integral component of membrane"
Dcitr01g0814011	3			GO:0003824;GO:0004419	"catalytic activity";"hydroxymethylglutaryl-CoA lyase activity"	GO:0005829	"cytosol"
Dcitr10g0460011	1			GO:0003677	"DNA binding"		
Dcitr05g1585011	2			GO:0016887;GO:0005524	"ATPase activity";"ATP binding"		
Dcitr11g0350011	2	GO:0031167	"rRNA methylation"	GO:0008990	"rRNA (guanine-N2-)-methyltransferase activity"		
Dcitr01g0110011	3	GO:0006355	"regulation of transcription, DNA-templated"	GO:0003677;GO:0043565	"DNA binding";"sequence-specific DNA binding"		
Dcitr12g0177011	3	GO:0016226	"iron-sulfur cluster assembly"	GO:0051536	"iron-sulfur cluster binding"	GO:0005737	"cytoplasm"
Dcitr03g0469011	1	GO:0070682	"proteasome regulatory particle assembly"				
Dcitr00g1449011	5	GO:0006270;GO:0006260	"DNA replication initiation";"DNA replication"	GO:0003690;GO:0003697	"double-stranded DNA binding";"single-stranded DNA binding"	GO:0005634	"nucleus"
Dcitr06g0782011	4	GO:0006796	"phosphate-containing compound metabolic process"	GO:0000287;GO:0004427	"magnesium ion binding";"inorganic diphosphatase activity"	GO:0005737	"cytoplasm"
Dcitr03g1158011	3	GO:0007186	"G protein-coupled receptor signaling pathway"	GO:0004930	"G protein-coupled receptor activity"	GO:0016021	"integral component of membrane"
Dcitr04g1050011	2			GO:0003677;GO:0003676	"DNA binding";"nucleic acid binding"		
Dcitr08g1242011	7	GO:0006355;GO:0007420;GO:0006357	"regulation of transcription, DNA-templated";"brain development";"regulation of transcription by RNA polymerase II"	GO:0043565;GO:0003700;GO:0003677	"sequence-specific DNA binding";"DNA-binding transcription factor activity";"DNA binding"	GO:0005634	"nucleus"
Dcitr07g0479011	1	GO:0006355	"regulation of transcription, DNA-templated"				
Dcitr01g0894011	3	GO:0071805	"potassium ion transmembrane transport"	GO:0005267	"potassium channel activity"	GO:0016020	"membrane"
Dcitr05g0661011	1			GO:0043022	"ribosome binding"		
Dcitr00g0365011	1			GO:0003723	"RNA binding"		
Dcitr03g0674011	2	GO:0006464	"cellular protein modification process"	GO:0005524	"ATP binding"		
Dcitr06g0219011	1			GO:0042302	"structural constituent of cuticle"		
Dcitr08g1089011	6	GO:0006355	"regulation of transcription, DNA-templated"	GO:0046983;GO:0003700	"protein dimerization activity";"DNA-binding transcription factor activity"	GO:0005667;GO:0005634;GO:0005737	"transcription factor complex";"nucleus";"cytoplasm"
Dcitr03g1196011	1			GO:0004519	"endonuclease activity"		
Dcitr07g0463011	3	GO:0006508	"proteolysis"	GO:0005524;GO:0004222	"ATP binding";"metalloendopeptidase activity"		
Dcitr12g0278011	1			GO:0003824	"catalytic activity"		
Dcitr11g0466011	1			GO:0030215	"semaphorin receptor binding"		
Dcitr04g0146011	4	GO:0044571	"[2Fe-2S] cluster assembly"	GO:0031071;GO:0003824;GO:0030170	"cysteine desulfurase activity";"catalytic activity";"pyridoxal phosphate binding"		
Dcitr08g0420011	3	GO:0006086	"acetyl-CoA biosynthetic process from pyruvate"	GO:0003824;GO:0004739	"catalytic activity";"pyruvate dehydrogenase (acetyl-transferring) activity"		
Dcitr00g0423011	2			GO:0008270	"zinc ion binding"	GO:0005634	"nucleus"
Dcitr04g1360012	6	GO:0046475;GO:0006629	"glycerophospholipid catabolic process";"lipid metabolic process"	GO:2001070;GO:0030246;GO:0047389;GO:0008081	"starch binding";"carbohydrate binding";"glycerophosphocholine phosphodiesterase activity";"phosphoric diester hydrolase activity"		
Dcitr04g1424011	1			GO:0003677	"DNA binding"		
Dcitr02g1437011	5	GO:0055114;GO:0006635	"oxidation-reduction process";"fatty acid beta-oxidation"	GO:0003997;GO:0016627	"acyl-CoA oxidase activity";"oxidoreductase activity, acting on the CH-CH group of donors"	GO:0005777	"peroxisome"
Dcitr04g0480011	2	GO:0018216	"peptidyl-arginine methylation"	GO:0016274	"protein-arginine N-methyltransferase activity"		
